row_idx,tweet_id,text,half
54463,T0054464,Democracy works when we show up. Check your registration today — link in bio.,H1
78636,T0078637,Met with law enforcement and community leaders in Bremerton about keeping our neighborhoods safe.,H1
36283,T0036284,Met with law enforcement and community leaders in Oak Ridge about keeping our neighborhoods safe.,H1
32743,T0032744,RT @TheDailyLedgerUS: ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.,H1
13127,T0013128,Peace through strength. A strong military is the best guarantee our enemies stay in check.,H1
85011,T0085012,Talked supply chains and manufacturing with workers at the plant in Riverton this morning.,H1
51496,T0051497,Criminals don't follow gun laws — disarming law-abiding RI citizens makes us less safe.,H1
40389,T0040390,RT @FreeMarketForum: REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.,H1
83410,T0083411,Government doesn't create prosperity — entrepreneurs do. Let's get Washington out of the way.,H1
38626,T0038627,Voting should be easy and secure — for everyone. I'll fight voter suppression wherever it appears.,H1
83841,T0083842,Not one more dime overseas until we take care of our own veterans here in IN.,H1
34478,T0034479,Good jobs and a fair shot — that's what this campaign is about for NV.,H1
39381,T0039382,RT @PatriotPressWire: Study: universal pre-K pays for itself within a decade. Pass it on.,H1
91329,T0091330,RT @LibertyLedger: ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.,H1
54013,T0054014,We can back the police AND demand accountability. Those aren't opposites.,H1
5028,T0005029,Knocking doors in Greenville with an incredible team of volunteers today. The energy is real!,H1
45897,T0045898,Visited the community health center in Oak Ridge — grateful for the nurses and staff who keep it running.,H1
72613,T0072614,Healthcare is a human right. No one in MA should go bankrupt because they got sick.,H1
100940,T0100941,"Every family in CA deserves access to quality, affordable care. Full stop.",H1
94951,T0094952,RT @TaxpayersFirstOrg: Border crossings surge again — where is the accountability?,H1
15690,T0015691,RT @ProgressNowDaily: Voter purges are quietly accelerating ahead of the midterms. We're tracking every state.,H1
50007,T0050008,Good jobs and a fair shot — that's what this campaign is about for AZ.,H1
47809,T0047810,RT @FreeMarketForum: Border crossings surge again — where is the accountability?,H1
12703,T0012704,Met with local business owners in Bremerton today about what they need to grow and hire.,H1
43707,T0043708,Big Oil made record profits while your utility bill doubled. I'll end their subsidies.,H1
63567,T0063568,Met with law enforcement and community leaders in Franklin about keeping our neighborhoods safe.,H1
61284,T0061285,Our immigration system has been broken for decades. Both parties share the blame — FL deserves solutions.,H1
68845,T0068846,RT @ProgressNowDaily: Voter purges are quietly accelerating ahead of the midterms. We're tracking every state.,H1
18649,T0018650,Thank you Madison Heights! Standing room only tonight. This movement is growing every single day.,H1
30964,T0030965,Good jobs and a fair shot — that's what this campaign is about for NY.,H1
91921,T0091922,RT @SecondAmendmentNow: Our latest polling roundup for the 2022 midterms is live. Key races tightening.,H1
1264,T0001265,RT @GreenFutureFund: NEW REPORT: Corporate profits hit record highs while wages stagnate. The data is undeniable.,H1
85983,T0085984,I am proudly pro-life and will always defend the unborn.,H1
60311,T0060312,Join us Saturday at 2pm for a town hall in Springdale! Doors open early — bring your questions.,H1
19986,T0019987,RT @StatehouseWire: ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.,H1
83892,T0083893,Filed our FEC report: best fundraising quarter yet. Thank you to every supporter.,H1
12733,T0012734,RT @VotingRightsWatch: ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.,H1
81166,T0081167,Filed our FEC report: best fundraising quarter yet. Thank you to every supporter.,H1
22136,T0022137,"Clean energy jobs are the future, and VA can lead. I'll fight for wind, solar, and battery manufacturing here at home.",H1
37526,T0037527,Met with law enforcement and community leaders in Bremerton about keeping our neighborhoods safe.,H1
50554,T0050555,RT @TheDailyLedgerUS: New analysis: energy mandates will raise household electric bills sharply. Voters deserve the truth.,H1
53640,T0053641,Early voting starts soon in CA. Make your plan now — every single vote counts.,H1
94627,T0094628,Democracy works when we show up. Check your registration today — link in bio.,H1
22226,T0022227,Small businesses in PA are drowning in red tape. I'll cut job-killing regulations on day one.,H1
56843,T0056844,Filed our FEC report: best fundraising quarter yet. Thank you to every supporter.,H1
63322,T0063323,Visited the community health center in Clayton — grateful for the nurses and staff who keep it running.,H1
69555,T0069556,Gun violence is a public health crisis. Prevention works — I've seen it in Dover Plains.,H1
82550,T0082551,RT @FreeMarketForum: Debate schedule for the fall is out. Full calendar at the link.,H1
4328,T0004329,RT @CarePolicyProject: Our latest polling roundup for the 2022 midterms is live. Key races tightening.,H1
41824,T0041825,Big Oil made record profits while your utility bill doubled. I'll end their subsidies.,H1
79932,T0079933,RT @BorderWatchNet: Debate schedule for the fall is out. Full calendar at the link.,H1
25048,T0025049,This issue is deeply personal for families across WV. I'll always listen first.,H1
89661,T0089662,"The Second Amendment isn't negotiable. I'll oppose every gun grab, every time.",H1
15111,T0015112,Student debt is holding back a generation. I support relief and free community college.,H1
58435,T0058436,RT @MainStreetMonitor: BREAKING: Another state expands Medicaid — and rural hospitals immediately benefit.,H1
58310,T0058311,RT @MainStreetMonitor: Our latest polling roundup for the 2022 midterms is live. Key races tightening.,H1
10775,T0010776,Washington elites think they know better than CA voters. I trust the people.,H1
4235,T0004236,RT @WorkersUnitedHQ: NEW REPORT: Corporate profits hit record highs while wages stagnate. The data is undeniable.,H1
64217,T0064218,Filed our FEC report: best fundraising quarter yet. Thank you to every supporter.,H1
73363,T0073364,RT @BorderWatchNet: Debate schedule for the fall is out. Full calendar at the link.,H1
87759,T0087760,RT @GreenFutureFund: This map of clean-energy job growth should be front-page news.,H1
46740,T0046741,"Family separation is a moral stain. We need humane, orderly immigration reform — not cruelty as policy.",H1
51323,T0051324,Knocking doors in Lakewood with an incredible team of volunteers today. The energy is real!,H1
72792,T0072793,Yard signs are IN. Swing by the Madison Heights office and grab one this weekend!,H1
65409,T0065410,"Abortion is healthcare, and healthcare decisions belong to patients — not politicians.",H1
32366,T0032367,RT @PatriotPressWire: REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.,H1
70537,T0070538,Toured the new energy facility in Summit today. FL workers are second to none.,H1
33324,T0033325,"Every family in FL deserves access to quality, affordable care. Full stop.",H1
30822,T0030823,This issue is deeply personal for families across NJ. I'll always listen first.,H1
80269,T0080270,RT @FreeMarketForum: Poll: overwhelming majority supports voter ID. This shouldn't be controversial.,H1
72924,T0072925,Yard signs are IN. Swing by the Riverton office and grab one this weekend!,H1
60378,T0060379,RT @SecondAmendmentNow: Crime stats out this morning. Soft-on-crime policies have a body of evidence now — and it's damning.,H1
92329,T0092330,I respect the Second Amendment AND believe weapons of war don't belong on our streets.,H1
51464,T0051465,"Get politics out of the classroom and get back to reading, writing, and math.",H1
76786,T0076787,"We just crossed 50,000 grassroots donors! Average gift: $27. This campaign is powered by people, not PACs.",H1
48581,T0048582,Taxpayer dollars should never fund abortion. I'll hold that line in Congress.,H1
49051,T0049052,Childcare costs are crushing parents in VA. My plan caps costs and invests in providers.,H1
70285,T0070286,RT @CivicSignal: Poll: overwhelming majority supports voter ID. This shouldn't be controversial.,H1
11546,T0011547,RT @BorderWatchNet: Our latest polling roundup for the 2022 midterms is live. Key races tightening.,H1
91253,T0091254,RT @CleanAirCoalition: Our latest polling roundup for the 2022 midterms is live. Key races tightening.,H1
7395,T0007396,This issue is deeply personal for families across TN. I'll always listen first.,H1
14998,T0014999,RT @LibertyLedger: Turnout in this week's primaries beat 2018 levels in most counties.,H1
54977,T0054978,Parents — not bureaucrats — should decide what their kids learn. I'll fight for parental rights in every classroom.,H1
81739,T0081740,"Happy Labor Day from our family to yours, NY!",H1
38341,T0038342,RT @HeritageHorizon: REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.,H1
91094,T0091095,RT @TheDailyLedgerUS: REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.,H1
11649,T0011650,RT @SecondAmendmentNow: Poll: overwhelming majority supports voter ID. This shouldn't be controversial.,H1
1764,T0001765,Taxpayer dollars should never fund abortion. I'll hold that line in Congress.,H1
38208,T0038209,Student debt is holding back a generation. I support relief and free community college.,H1
60598,T0060599,"Clean energy jobs are the future, and LA can lead. I'll fight for wind, solar, and battery manufacturing here at home.",H1
69611,T0069612,Stopped by Georgetown Elementary today. Our teachers are heroes — period.,H1
24968,T0024969,Dreamers are Americans in every way but paperwork. I'll vote for a pathway to citizenship.,H1
70611,T0070612,RT @SecondAmendmentNow: Voter purges are quietly accelerating ahead of the midterms. We're tracking every state.,H1
16629,T0016630,Healthcare is a human right. No one in PA should go bankrupt because they got sick.,H1
4917,T0004918,Stopped by Oak Ridge Elementary today. Our teachers are heroes — period.,H1
64504,T0064505,Toured the new energy facility in Fairview today. WV workers are second to none.,H1
63321,T0063322,RT @HeartlandDispatch: Turnout in this week's primaries beat 2018 levels in most counties.,H1
37699,T0037700,Talked supply chains and manufacturing with workers at the plant in Summit this morning.,H1
92804,T0092805,Election integrity matters. Voter ID is common sense and most Americans agree.,H1
33068,T0033069,Rode along with Oak Ridge officers last night. Grateful for what they do every shift.,H1
47969,T0047970,Rode along with Madison Heights officers last night. Grateful for what they do every shift.,H1
87953,T0087954,RT @HeartlandDispatch: Our latest polling roundup for the 2022 midterms is live. Key races tightening.,H1
74318,T0074319,Big Oil made record profits while your utility bill doubled. I'll end their subsidies.,H1
78456,T0078457,Met with law enforcement and community leaders in Lakewood about keeping our neighborhoods safe.,H1
61402,T0061403,"School choice gives every TX family a shot at a great education, regardless of zip code.",H1
19183,T0019184,Democracy works when we show up. Check your registration today — link in bio.,H1
59219,T0059220,Inflation is a tax on every family. Washington's reckless spending has to stop.,H1
103338,T0103339,Student debt is holding back a generation. I support relief and free community college.,H1
45140,T0045141,Our immigration system has been broken for decades. Both parties share the blame — MA deserves solutions.,H1
48998,T0048999,We can back the police AND demand accountability. Those aren't opposites.,H1
100252,T0100253,RT @FaithAndFlagDaily: Poll: overwhelming majority supports voter ID. This shouldn't be controversial.,H1
42693,T0042694,Healthcare is a human right. No one in CT should go bankrupt because they got sick.,H1
45555,T0045556,RT @VotingRightsWatch: BREAKING: Another state expands Medicaid — and rural hospitals immediately benefit.,H1
87981,T0087982,Gerrymandering lets politicians pick their voters. Independent commissions would fix that.,H1
27482,T0027483,Washington-run healthcare means longer waits and fewer choices. I'll defend private options for IL families.,H1
68534,T0068535,RT @TheDailyLedgerUS: Border crossings surge again — where is the accountability?,H1
40286,T0040287,Student debt is holding back a generation. I support relief and free community college.,H1
76881,T0076882,Stopped by Alton Elementary today. Our teachers are heroes — period.,H1
8760,T0008761,Democracy works when we show up. Check your registration today — link in bio.,H1
22947,T0022948,Student debt is holding back a generation. I support relief and free community college.,H1
9107,T0009108,"Phone bank tonight at 6pm! Grab a coffee and join us — training provided, no experience needed.",H1
88472,T0088473,"Phone bank tonight at 6pm! Grab a coffee and join us — training provided, no experience needed.",H1
50465,T0050466,Toured the new energy facility in Madison Heights today. OH workers are second to none.,H1
99992,T0099993,RT @VotingRightsWatch: BREAKING: Another state expands Medicaid — and rural hospitals immediately benefit.,H1
19833,T0019834,Patients and doctors should make health decisions — not government bureaucrats.,H1
98650,T0098651,"Illegal immigration drives down wages for TX workers. Enforce the law, protect American jobs.",H1
59389,T0059390,Rode along with Lakewood officers last night. Grateful for what they do every shift.,H1
12571,T0012572,Inflation is a tax on every family. Washington's reckless spending has to stop.,H1
85154,T0085155,We can protect people with pre-existing conditions without a big-government takeover of medicine.,H1
81763,T0081764,"Lower taxes, less government, more freedom. That's how we get TX's economy roaring again.",H1
23942,T0023943,Talked supply chains and manufacturing with workers at the plant in Georgetown this morning.,H1
103622,T0103623,Visited the community health center in Oak Ridge — grateful for the nurses and staff who keep it running.,H1
74092,T0074093,Filed our FEC report: best fundraising quarter yet. Thank you to every supporter.,H1
72964,T0072965,RT @SecondAmendmentNow: Poll: overwhelming majority supports voter ID. This shouldn't be controversial.,H1
824,T0000825,RT @FaithAndFlagDaily: Our latest polling roundup for the 2022 midterms is live. Key races tightening.,H1
12725,T0012726,Rural hospitals in WA are closing while insurers post record profits. That ends when we hold them accountable.,H1
102921,T0102922,"Immigrants power NC's farms, hospitals, and small businesses. Our economy depends on fixing this broken system.",H1
30236,T0030237,RT @BorderWatchNet: Poll: overwhelming majority supports voter ID. This shouldn't be controversial.,H1
97782,T0097783,RT @ProgressNowDaily: Turnout in this week's primaries beat 2018 levels in most counties.,H1
22271,T0022272,We can be good stewards of the land without strangling SC's energy workers with mandates.,H1
41477,T0041478,"I'll fight to expand Medicaid and cap insulin costs for every patient, not just some.",H1
99792,T0099793,Democracy works when we show up. Check your registration today — link in bio.,H1
32184,T0032185,I will vote to restore Roe's protections nationwide. AL women deserve nothing less.,H1
29559,T0029560,Every family deserves a safe neighborhood. Law and order is on the ballot.,H1
62029,T0062030,"I'll always back the blue. Our officers in CA deserve support, not defunding.",H1
70729,T0070730,"Happy New Year from our family to yours, SC!",H1
46889,T0046890,RT @GreenFutureFund: BREAKING: Another state expands Medicaid — and rural hospitals immediately benefit.,H1
46587,T0046588,"Every family in TX deserves access to quality, affordable care. Full stop.",H1
87347,T0087348,This issue is deeply personal for families across SC. I'll always listen first.,H1
40312,T0040313,Gun violence is a public health crisis. Prevention works — I've seen it in Cedar Falls.,H1
34367,T0034368,Visited the community health center in Clayton — grateful for the nurses and staff who keep it running.,H1
90892,T0090893,RT @HeritageHorizon: Turnout in this week's primaries beat 2018 levels in most counties.,H1
27405,T0027406,RT @ProgressNowDaily: NEW REPORT: Corporate profits hit record highs while wages stagnate. The data is undeniable.,H1
40126,T0040127,Small businesses in CO are drowning in red tape. I'll cut job-killing regulations on day one.,H1
63998,T0063999,RT @CleanAirCoalition: Voter purges are quietly accelerating ahead of the midterms. We're tracking every state.,H1
15631,T0015632,RT @BorderWatchNet: Turnout in this week's primaries beat 2018 levels in most counties.,H1
85554,T0085555,Rode along with Lakewood officers last night. Grateful for what they do every shift.,H1
66998,T0066999,Rode along with Summit officers last night. Grateful for what they do every shift.,H1
87454,T0087455,Talked supply chains and manufacturing with workers at the plant in Riverton this morning.,H1
64112,T0064113,RT @CleanAirCoalition: BREAKING: Another state expands Medicaid — and rural hospitals immediately benefit.,H1
14957,T0014958,Toured the new energy facility in Cedar Falls today. AZ workers are second to none.,H1
67531,T0067532,Visited the community health center in Alton — grateful for the nurses and staff who keep it running.,H1
58741,T0058742,Democracy works when we show up. Check your registration today — link in bio.,H1
87645,T0087646,"Happy Fourth of July from our family to yours, FL!",H1
980,T0000981,RT @WorkersUnitedHQ: Turnout in this week's primaries beat 2018 levels in most counties.,H1
35299,T0035300,This issue is deeply personal for families across MN. I'll always listen first.,H1
23397,T0023398,Protecting our air and water isn't radical — poisoning them for profit is.,H1
25891,T0025892,We can back the police AND demand accountability. Those aren't opposites.,H1
58657,T0058658,Visited the community health center in Franklin — grateful for the nurses and staff who keep it running.,H1
84634,T0084635,"Lower taxes, less government, more freedom. That's how we get MI's economy roaring again.",H1
40169,T0040170,"Lower taxes, less government, more freedom. That's how we get NY's economy roaring again.",H1
81736,T0081737,Thank you Lakewood! Standing room only tonight. This movement is growing every single day.,H1
44969,T0044970,RT @FreeMarketForum: Crime stats out this morning. Soft-on-crime policies have a body of evidence now — and it's damning.,H1
50227,T0050228,RT @CivicSignal: Our latest polling roundup for the 2022 midterms is live. Key races tightening.,H1
98770,T0098771,Toured the new energy facility in Summit today. TN workers are second to none.,H1
104053,T0104054,RT @TaxpayersFirstOrg: ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.,H1
48977,T0048978,"We just crossed 10,000 grassroots donors! Average gift: $27. This campaign is powered by people, not PACs.",H1
17579,T0017580,"The climate crisis is here — NC families are paying for it in floods, fires, and insurance bills. We need clean energy now.",H1
54426,T0054427,Taxpayer dollars should never fund abortion. I'll hold that line in Congress.,H1
85796,T0085797,Met with local business owners in Madison Heights today about what they need to grow and hire.,H1
89027,T0089028,Government doesn't create prosperity — entrepreneurs do. Let's get Washington out of the way.,H1
100774,T0100775,Politicians have no place in the exam room. I trust women.,H1
23911,T0023912,"Happy Veterans Day from our family to yours, NC!",H1
39308,T0039309,"Happy Memorial Day from our family to yours, MO!",H1
45679,T0045680,Our kids practice lockdown drills while Congress practices excuses. Enough. Pass red flag laws.,H1
6131,T0006132,Gun violence is a public health crisis. Prevention works — I've seen it in Bellview.,H1
52882,T0052883,I'm a proud gun owner and I'll defend your constitutional rights in Washington.,H1
1868,T0001869,"Clean energy jobs are the future, and FL can lead. I'll fight for wind, solar, and battery manufacturing here at home.",H1
45178,T0045179,"Our new ad is live. Watch it, share it, and chip in $5 if you can.",H1
56347,T0056348,RT @PublicSquareNews: BREAKING: Another state expands Medicaid — and rural hospitals immediately benefit.,H1
49464,T0049465,"Get politics out of the classroom and get back to reading, writing, and math.",H1
102831,T0102832,Secure the border. Period. I'll fund the wall and back our Border Patrol agents 100%.,H1
35797,T0035798,RT @SecondAmendmentNow: New analysis: energy mandates will raise household electric bills sharply. Voters deserve the truth.,H1
51436,T0051437,Met with local business owners in Summit today about what they need to grow and hire.,H1
90201,T0090202,"I'll fight to expand Medicaid and cap insulin costs for every patient, not just some.",H1
83169,T0083170,"New endorsement dropping tomorrow morning. Stay tuned, MI!",H1
79197,T0079198,"We just crossed 20,000 grassroots donors! Average gift: $27. This campaign is powered by people, not PACs.",H1
32148,T0032149,"Get politics out of the classroom and get back to reading, writing, and math.",H1
83567,T0083568,Student debt is holding back a generation. I support relief and free community college.,H1
44907,T0044908,Working families deserve a raise. I'll fight to lift the minimum wage and rein in corporate price gouging.,H1
33984,T0033985,Knocking doors in Riverton with an incredible team of volunteers today. The energy is real!,H1
47161,T0047162,RT @MainStreetMonitor: New analysis: energy mandates will raise household electric bills sharply. Voters deserve the truth.,H1
54844,T0054845,Gun violence is a public health crisis. Prevention works — I've seen it in Lakewood.,H1
94961,T0094962,Parents — not bureaucrats — should decide what their kids learn. I'll fight for parental rights in every classroom.,H1
30701,T0030702,Early voting starts soon in MA. Make your plan now — every single vote counts.,H1
75258,T0075259,"Every family in KY deserves access to quality, affordable care. Full stop.",H1
53424,T0053425,Talked supply chains and manufacturing with workers at the plant in Lakewood this morning.,H1
59666,T0059667,Met with law enforcement and community leaders in Bellview about keeping our neighborhoods safe.,H1
10527,T0010528,"Phone bank tonight at 6pm! Grab a coffee and join us — training provided, no experience needed.",H1
10954,T0010955,Criminals don't follow gun laws — disarming law-abiding ME citizens makes us less safe.,H1
76136,T0076137,RT @TheDailyLedgerUS: This map of clean-energy job growth should be front-page news.,H1
60942,T0060943,RT @FreeMarketForum: REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.,H1
16420,T0016421,RT @WorkersUnitedHQ: Study: universal pre-K pays for itself within a decade. Pass it on.,H1
68274,T0068275,Politicians have no place in the exam room. I trust women.,H1
81787,T0081788,China is eating our lunch on trade and technology. I'll put American workers first.,H1
77059,T0077060,Our immigration system has been broken for decades. Both parties share the blame — IL deserves solutions.,H1
98894,T0098895,"Illegal immigration drives down wages for CA workers. Enforce the law, protect American jobs.",H1
15456,T0015457,Gun violence is a public health crisis. Prevention works — I've seen it in Kingsport.,H1
14685,T0014686,Secure the border. Period. I'll fund the wall and back our Border Patrol agents 100%.,H1
90399,T0090400,RT @WorkersUnitedHQ: Study: universal pre-K pays for itself within a decade. Pass it on.,H1
61501,T0061502,Our immigration system has been broken for decades. Both parties share the blame — PA deserves solutions.,H1
86550,T0086551,"Every kid in NY deserves a great public school — fully funded, with teachers paid what they're worth.",H1
42192,T0042193,RT @LibertyLedger: Turnout in this week's primaries beat 2018 levels in most counties.,H1
5390,T0005391,"Every family in TX deserves access to quality, affordable care. Full stop.",H1
92135,T0092136,Gerrymandering lets politicians pick their voters. Independent commissions would fix that.,H1
11173,T0011174,RT @TaxpayersFirstOrg: New analysis: energy mandates will raise household electric bills sharply. Voters deserve the truth.,H1
29637,T0029638,Stopped by Bremerton Elementary today. Our teachers are heroes — period.,H1
30790,T0030791,Inflation is a tax on every family. Washington's reckless spending has to stop.,H1
73980,T0073981,RT @SecondAmendmentNow: REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.,H1
77237,T0077238,Debate night. Watch live at 7pm and see the contrast for yourself.,H1
11319,T0011320,Our immigration system has been broken for decades. Both parties share the blame — NM deserves solutions.,H1
57867,T0057868,RT @FreeMarketForum: Border crossings surge again — where is the accountability?,H1
98994,T0098995,"Illegal immigration drives down wages for GA workers. Enforce the law, protect American jobs.",H1
100253,T0100254,RT @VotingRightsWatch: Study: universal pre-K pays for itself within a decade. Pass it on.,H1
104157,T0104158,"Our new ad is live. Watch it, share it, and chip in $5 if you can.",H1
63508,T0063509,I'm a proud gun owner and I'll defend your constitutional rights in Washington.,H1
42769,T0042770,"The Second Amendment isn't negotiable. I'll oppose every gun grab, every time.",H1
44746,T0044747,"New endorsement dropping tomorrow morning. Stay tuned, MN!",H1
15024,T0015025,"We just crossed 20,000 grassroots donors! Average gift: $27. This campaign is powered by people, not PACs.",H1
90199,T0090200,"I'll fight to expand Medicaid and cap insulin costs for every patient, not just some.",H1
86231,T0086232,Taxpayer dollars should never fund abortion. I'll hold that line in Congress.,H1
74149,T0074150,RT @LibertyLedger: ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.,H1
40949,T0040950,Debate night. Watch live at 7pm and see the contrast for yourself.,H1
81742,T0081743,RT @CleanAirCoalition: ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.,H1
91347,T0091348,I'm a proud gun owner and I'll defend your constitutional rights in Washington.,H1
14572,T0014573,RT @CarePolicyProject: Study: universal pre-K pays for itself within a decade. Pass it on.,H1
22655,T0022656,I'm a proud gun owner and I'll defend your constitutional rights in Washington.,H1
85552,T0085553,This issue is deeply personal for families across MI. I'll always listen first.,H1
35451,T0035452,"Our new ad is live. Watch it, share it, and chip in $5 if you can.",H1
103922,T0103923,"Lower taxes, less government, more freedom. That's how we get TX's economy roaring again.",H1
98044,T0098045,RT @TheDailyLedgerUS: REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.,H1
87455,T0087456,RT @BorderWatchNet: Turnout in this week's primaries beat 2018 levels in most counties.,H1
22236,T0022237,Criminals don't follow gun laws — disarming law-abiding FL citizens makes us less safe.,H1
53533,T0053534,RT @CarePolicyProject: Study: universal pre-K pays for itself within a decade. Pass it on.,H1
30914,T0030915,RT @CarePolicyProject: This map of clean-energy job growth should be front-page news.,H1
76651,T0076652,Big Pharma spends millions lobbying to keep prices high. I don't take their money — and I'll vote to negotiate prices.,H1
82342,T0082343,RT @VotingRightsWatch: REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.,H1
26369,T0026370,RT @LibertyLedger: Poll: overwhelming majority supports voter ID. This shouldn't be controversial.,H1
82198,T0082199,RT @VotingRightsWatch: BREAKING: Another state expands Medicaid — and rural hospitals immediately benefit.,H1
5410,T0005411,Billionaires shouldn't pay a lower tax rate than teachers. Time to make the wealthy pay their fair share.,H1
6312,T0006313,RT @ProgressNowDaily: Study: universal pre-K pays for itself within a decade. Pass it on.,H1
17453,T0017454,Working families deserve a raise. I'll fight to lift the minimum wage and rein in corporate price gouging.,H1
5316,T0005317,Democracy works when we show up. Check your registration today — link in bio.,H1
47528,T0047529,Filed our FEC report: best fundraising quarter yet. Thank you to every supporter.,H1
97410,T0097411,Corporate consolidation is squeezing family farms and small businesses. We need real antitrust enforcement.,H1
