item_id,candidate_id,tweet_id,text,score
TC008901,C0089,T0008186,Met with law enforcement and community leaders in Lakewood about keeping our neighborhoods safe.,0.15
TC008902,C0089,T0081517,"Human rights must be at the center of American foreign policy, not an afterthought.",-0.35
TC008903,C0089,T0090031,Gun violence is a public health crisis. Prevention works — I've seen it in Bremerton.,-0.65
TC008904,C0089,T0001414,This map of clean-energy job growth should be front-page news.,-0.4
TC008905,C0089,T0055981,Corporate consolidation is squeezing family farms and small businesses. We need real antitrust enforcement.,-0.4
TC008906,C0089,T0043066,Rural hospitals in CA are closing while insurers post record profits. That ends when we hold them accountable.,-0.45
TC008907,C0089,T0035500,"Every family in CA deserves access to quality, affordable care. Full stop.",-0.4
TC008908,C0089,T0067896,Union jobs built the middle class. I'm proud to stand with workers on the picket line in CA.,-0.6
TC008909,C0089,T0028743,Honored to meet with veterans in Bremerton today. We owe them more than words.,0.0
TC008910,C0089,T0054318,Democracy works when we show up. Check your registration today — link in bio.,0.0
TC008911,C0089,T0017703,Big Oil made record profits while your utility bill doubled. I'll end their subsidies.,-0.65
TC008912,C0089,T0076162,China is eating our lunch on trade and technology. I'll put American workers first.,0.4
TC008913,C0089,T0078051,I respect the Second Amendment AND believe weapons of war don't belong on our streets.,-0.55
TC008914,C0089,T0014489,Childcare costs are crushing parents in CA. My plan caps costs and invests in providers.,-0.5
TC008915,C0089,T0009726,Study: universal pre-K pays for itself within a decade. Pass it on.,-0.5
TC008916,C0089,T0078678,"Human rights must be at the center of American foreign policy, not an afterthought.",-0.3
TC008917,C0089,T0078649,"Clean energy jobs are the future, and CA can lead. I'll fight for wind, solar, and battery manufacturing here at home.",-0.5
TC008918,C0089,T0079170,I respect the Second Amendment AND believe weapons of war don't belong on our streets.,-0.45
TC008919,C0089,T0079661,We can back the police AND demand accountability. Those aren't opposites.,-0.1
TC008920,C0089,T0002208,Corporate consolidation is squeezing family farms and small businesses. We need real antitrust enforcement.,-0.4
TC008921,C0089,T0003439,Union jobs built the middle class. I'm proud to stand with workers on the picket line in CA.,-0.7
TC008922,C0089,T0089357,Rode along with Georgetown officers last night. Grateful for what they do every shift.,0.2
TC008923,C0089,T0076551,"Every family in CA deserves access to quality, affordable care. Full stop.",-0.45
TC008924,C0089,T0032642,Visited the community health center in Alton — grateful for the nurses and staff who keep it running.,0.0
TC011100,C0111,T0103375,Thank you Lakewood! Standing room only tonight. This movement is growing every single day.,0.0
TC011101,C0111,T0104222,Voter purges are quietly accelerating ahead of the midterms. We're tracking every state.,-0.6
TC011102,C0111,T0066019,Dreamers are Americans in every way but paperwork. I'll vote for a pathway to citizenship.,-0.7
TC011103,C0111,T0011466,Filed our FEC report: best fundraising quarter yet. Thank you to every supporter.,0.0
TC011104,C0111,T0031867,"Phone bank tonight at 6pm! Grab a coffee and join us — training provided, no experience needed.",0.0
TC011105,C0111,T0014454,Democracy works when we show up. Check your registration today — link in bio.,0.0
TC011106,C0111,T0036346,Knocking doors in Alton with an incredible team of volunteers today. The energy is real!,0.0
TC011107,C0111,T0060258,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.,0.0
TC011108,C0111,T0058665,"We just crossed 15,000 grassroots donors! Average gift: $27. This campaign is powered by people, not PACs.",-0.15
TC011109,C0111,T0012744,Gun violence is a public health crisis. Prevention works — I've seen it in Georgetown.,-0.7
TC011110,C0111,T0082022,Democracy works when we show up. Check your registration today — link in bio.,0.0
TC011111,C0111,T0036709,Soft-on-crime policies have consequences. I'll fight for tougher sentences for violent offenders.,0.65
TC011112,C0111,T0056868,"We just crossed 10,000 grassroots donors! Average gift: $27. This campaign is powered by people, not PACs.",-0.15
TC011113,C0111,T0031102,Voter purges are quietly accelerating ahead of the midterms. We're tracking every state.,-0.55
TC011114,C0111,T0023578,Gun violence is a public health crisis. Prevention works — I've seen it in Kingsport.,-0.65
TC011115,C0111,T0004400,NEW REPORT: Corporate profits hit record highs while wages stagnate. The data is undeniable.,-0.5
TC011116,C0111,T0064329,"Real public safety means investing in communities — mental health response, youth programs, and accountable policing.",-0.6
TC011117,C0111,T0022809,NEW REPORT: Corporate profits hit record highs while wages stagnate. The data is undeniable.,-0.6
TC011118,C0111,T0002873,REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.,0.6
TC011119,C0111,T0102269,"I'll fight to expand Medicaid and cap insulin costs for every patient, not just some.",-0.65
TC011120,C0111,T0099384,Election integrity matters. Voter ID is common sense and most Americans agree.,0.6
TC011121,C0111,T0069445,BREAKING: Another state expands Medicaid — and rural hospitals immediately benefit.,-0.5
TC011122,C0111,T0102716,Stopped by Harrisburg Elementary today. Our teachers are heroes — period.,-0.15
TC011123,C0111,T0049311,Our latest polling roundup for the 2022 midterms is live. Key races tightening.,0.0
TC011124,C0111,T0087131,Union jobs built the middle class. I'm proud to stand with workers on the picket line in CA.,-0.7
TC023700,C0237,T0098669,Visited the community health center in Millbrook — grateful for the nurses and staff who keep it running.,0.0
TC023701,C0237,T0027515,Voting should be easy and secure — for everyone. I'll fight voter suppression wherever it appears.,-0.5
TC023702,C0237,T0076398,Voting should be easy and secure — for everyone. I'll fight voter suppression wherever it appears.,-0.5
TC023703,C0237,T0095316,Stopped by Harrisburg Elementary today. Our teachers are heroes — period.,0.0
TC023704,C0237,T0005789,Big Pharma spends millions lobbying to keep prices high. I don't take their money — and I'll vote to negotiate prices.,-0.55
TC023705,C0237,T0014155,Big Pharma spends millions lobbying to keep prices high. I don't take their money — and I'll vote to negotiate prices.,-0.6
TC023706,C0237,T0064126,Stopped by Madison Heights Elementary today. Our teachers are heroes — period.,-0.15
TC023707,C0237,T0086916,Rural hospitals in GA are closing while insurers post record profits. That ends when we hold them accountable.,-0.45
TC023708,C0237,T0027488,Working families deserve a raise. I'll fight to lift the minimum wage and rein in corporate price gouging.,-0.6
TC023709,C0237,T0011861,"Immigrants power GA's farms, hospitals, and small businesses. Our economy depends on fixing this broken system.",-0.55
TC023710,C0237,T0042975,"Standing with our allies isn't weakness, it's strength. Alliances keep Americans safe.",-0.35
TC023711,C0237,T0039839,China is eating our lunch on trade and technology. I'll put American workers first.,0.3
TC023712,C0237,T0064299,"Unleash American energy. Lower prices at the pump start with producing more, not begging OPEC.",0.65
TC023713,C0237,T0079402,Honored to meet with veterans in Kingsport today. We owe them more than words.,0.0
TC023714,C0237,T0017487,Visited the community health center in Madison Heights — grateful for the nurses and staff who keep it running.,0.0
TC023715,C0237,T0034476,Peace through strength. A strong military is the best guarantee our enemies stay in check.,0.6
TC023716,C0237,T0057925,"Every kid in GA deserves a great public school — fully funded, with teachers paid what they're worth.",-0.55
TC023717,C0237,T0040189,Big Oil made record profits while your utility bill doubled. I'll end their subsidies.,-0.6
TC023718,C0237,T0069259,"Happy Veterans Day from our family to yours, GA!",0.0
TC023719,C0237,T0091882,Billionaires shouldn't pay a lower tax rate than teachers. Time to make the wealthy pay their fair share.,-0.65
TC023720,C0237,T0021126,Stopped by Clayton Elementary today. Our teachers are heroes — period.,-0.15
TC023721,C0237,T0032378,"Human rights must be at the center of American foreign policy, not an afterthought.",-0.4
TC023722,C0237,T0083438,Stopped by Bremerton Elementary today. Our teachers are heroes — period.,0.0
TC023723,C0237,T0017558,"Standing with our allies isn't weakness, it's strength. Alliances keep Americans safe.",-0.25
TC023724,C0237,T0047066,Yard signs are IN. Swing by the Bremerton office and grab one this weekend!,0.0
TC025600,C0256,T0054986,Rode along with Millbrook officers last night. Grateful for what they do every shift.,0.1
TC025601,C0256,T0035225,Turnout in this week's primaries beat 2018 levels in most counties.,0.0
TC025602,C0256,T0019925,This map of clean-energy job growth should be front-page news.,-0.4
TC025603,C0256,T0083154,Union jobs built the middle class. I'm proud to stand with workers on the picket line in IL.,-0.7
TC025604,C0256,T0040854,Childcare costs are crushing parents in IL. My plan caps costs and invests in providers.,-0.5
TC025605,C0256,T0077946,"Real public safety means investing in communities — mental health response, youth programs, and accountable policing.",-0.6
TC025606,C0256,T0059525,Met with local business owners in Millbrook today about what they need to grow and hire.,0.0
TC025607,C0256,T0063181,"I'll always back the blue. Our officers in IL deserve support, not defunding.",0.6
TC025608,C0256,T0045716,"We just crossed 10,000 grassroots donors! Average gift: $27. This campaign is powered by people, not PACs.",-0.1
TC025609,C0256,T0051647,The Constitution isn't a suggestion. I'll defend free speech and religious liberty against any government overreach.,0.6
TC025610,C0256,T0065608,Yard signs are IN. Swing by the Greenville office and grab one this weekend!,0.0
TC025611,C0256,T0070204,"Every kid in IL deserves a great public school — fully funded, with teachers paid what they're worth.",-0.5
TC025612,C0256,T0044283,Our latest polling roundup for the 2022 midterms is live. Key races tightening.,0.0
TC025613,C0256,T0102666,Union jobs built the middle class. I'm proud to stand with workers on the picket line in IL.,-0.7
TC025614,C0256,T0089204,Corporate consolidation is squeezing family farms and small businesses. We need real antitrust enforcement.,-0.45
TC025615,C0256,T0092303,Good jobs and a fair shot — that's what this campaign is about for IL.,-0.1
TC025616,C0256,T0032027,"Clean energy jobs are the future, and IL can lead. I'll fight for wind, solar, and battery manufacturing here at home.",-0.5
TC025617,C0256,T0093220,Student debt is holding back a generation. I support relief and free community college.,-0.7
TC025618,C0256,T0022223,Good jobs and a fair shot — that's what this campaign is about for IL.,-0.2
TC025800,C0258,T0031060,Every family deserves a safe neighborhood. Law and order is on the ballot.,0.6
TC025801,C0258,T0087996,Poll: overwhelming majority supports voter ID. This shouldn't be controversial.,0.5
TC025802,C0258,T0077325,Crime stats out this morning. Soft-on-crime policies have a body of evidence now — and it's damning.,0.65
TC025803,C0258,T0009831,Our latest polling roundup for the 2022 midterms is live. Key races tightening.,0.0
TC025804,C0258,T0053478,Our immigration system has been broken for decades. Both parties share the blame — IL deserves solutions.,0.0
TC025805,C0258,T0049420,"We just crossed 15,000 grassroots donors! Average gift: $27. This campaign is powered by people, not PACs.",-0.1
TC025806,C0258,T0001617,Stopped by Oak Ridge Elementary today. Our teachers are heroes — period.,-0.15
TC025807,C0258,T0018907,Our immigration system has been broken for decades. Both parties share the blame — IL deserves solutions.,0.0
TC025808,C0258,T0082876,Our immigration system has been broken for decades. Both parties share the blame — IL deserves solutions.,0.0
TC025809,C0258,T0038939,Our latest polling roundup for the 2022 midterms is live. Key races tightening.,0.0
TC025810,C0258,T0027055,Join us Saturday at 2pm for a town hall in Madison Heights! Doors open early — bring your questions.,0.0
TC025811,C0258,T0074256,"Our new ad is live. Watch it, share it, and chip in $5 if you can.",0.0
TC025812,C0258,T0086144,Turnout in this week's primaries beat 2018 levels in most counties.,0.0
TC025813,C0258,T0056784,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.,0.0
TC025814,C0258,T0088216,Poll: overwhelming majority supports voter ID. This shouldn't be controversial.,0.6
TC025815,C0258,T0006679,"Get politics out of the classroom and get back to reading, writing, and math.",0.55
TC029300,C0293,T0028437,Yard signs are IN. Swing by the Kingsport office and grab one this weekend!,0.0
TC029301,C0293,T0103504,Poll: overwhelming majority supports voter ID. This shouldn't be controversial.,0.55
TC029302,C0293,T0065251,I am proudly pro-life and will always defend the unborn.,0.85
TC029303,C0293,T0099723,I'm a proud gun owner and I'll defend your constitutional rights in Washington.,0.6
TC029304,C0293,T0100360,Taxpayer dollars should never fund abortion. I'll hold that line in Congress.,0.7
TC029305,C0293,T0053383,Toured the new energy facility in Summit today. IN workers are second to none.,0.0
TC029306,C0293,T0008322,Soft-on-crime policies have consequences. I'll fight for tougher sentences for violent offenders.,0.65
TC029307,C0293,T0007698,"Illegal immigration drives down wages for IN workers. Enforce the law, protect American jobs.",0.7
TC029308,C0293,T0011214,Yard signs are IN. Swing by the Kingsport office and grab one this weekend!,0.0
TC029309,C0293,T0011822,I'm a proud gun owner and I'll defend your constitutional rights in Washington.,0.7
TC029310,C0293,T0101733,New analysis: energy mandates will raise household electric bills sharply. Voters deserve the truth.,0.6
TC029311,C0293,T0048267,"School choice gives every IN family a shot at a great education, regardless of zip code.",0.6
TC029312,C0293,T0089430,"School choice gives every IN family a shot at a great education, regardless of zip code.",0.6
TC029313,C0293,T0021363,Rode along with Harrisburg officers last night. Grateful for what they do every shift.,0.15
TC029314,C0293,T0079348,Rode along with Dover Plains officers last night. Grateful for what they do every shift.,0.2
TC029315,C0293,T0027800,Met with law enforcement and community leaders in Newport about keeping our neighborhoods safe.,0.1
TC029316,C0293,T0003043,Secure the border. Period. I'll fund the wall and back our Border Patrol agents 100%.,0.85
TC029317,C0293,T0007364,Our immigration system has been broken for decades. Both parties share the blame — IN deserves solutions.,0.0
TC029318,C0293,T0013382,Early voting starts soon in IN. Make your plan now — every single vote counts.,0.0
TC029319,C0293,T0103079,Thank you Oak Ridge! Standing room only tonight. This movement is growing every single day.,0.0
TC029320,C0293,T0098510,Parents — not bureaucrats — should decide what their kids learn. I'll fight for parental rights in every classroom.,0.75
TC029321,C0293,T0004883,Peace through strength. A strong military is the best guarantee our enemies stay in check.,0.5
TC029322,C0293,T0045270,Rode along with Oak Ridge officers last night. Grateful for what they do every shift.,0.15
TC029323,C0293,T0059422,Democracy works when we show up. Check your registration today — link in bio.,0.0
TC029324,C0293,T0043661,I'm a proud gun owner and I'll defend your constitutional rights in Washington.,0.65
TC032400,C0324,T0092486,Election integrity matters. Voter ID is common sense and most Americans agree.,0.5
TC032401,C0324,T0057136,We must balance the budget like every family in KY has to. No more blank checks.,0.6
TC032402,C0324,T0002707,Washington-run healthcare means longer waits and fewer choices. I'll defend private options for KY families.,0.6
TC032403,C0324,T0034351,Border crossings surge again — where is the accountability?,0.6
TC032404,C0324,T0017238,Early voting starts soon in KY. Make your plan now — every single vote counts.,0.0
TC032405,C0324,T0049474,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.,0.0
TC032406,C0324,T0074311,Voter purges are quietly accelerating ahead of the midterms. We're tracking every state.,-0.55
TC032407,C0324,T0021950,Debate night. Watch live at 2pm and see the contrast for yourself.,0.0
TC032408,C0324,T0035917,Soft-on-crime policies have consequences. I'll fight for tougher sentences for violent offenders.,0.75
TC032409,C0324,T0050610,Soft-on-crime policies have consequences. I'll fight for tougher sentences for violent offenders.,0.7
TC032410,C0324,T0089911,Thank you Kingsport! Standing room only tonight. This movement is growing every single day.,0.0
TC032700,C0327,T0024604,Poll: overwhelming majority supports voter ID. This shouldn't be controversial.,0.55
TC032701,C0327,T0045522,Dreamers are Americans in every way but paperwork. I'll vote for a pathway to citizenship.,-0.6
TC032702,C0327,T0084585,"Illegal immigration drives down wages for KY workers. Enforce the law, protect American jobs.",0.65
TC032703,C0327,T0074800,Crime stats out this morning. Soft-on-crime policies have a body of evidence now — and it's damning.,0.65
TC032704,C0327,T0077667,Knocking doors in Greenville with an incredible team of volunteers today. The energy is real!,0.0
TC032705,C0327,T0083857,Debate schedule for the fall is out. Full calendar at the link.,0.0
TC032706,C0327,T0002207,Debate schedule for the fall is out. Full calendar at the link.,0.0
TC032707,C0327,T0043663,Debate schedule for the fall is out. Full calendar at the link.,0.0
TC032708,C0327,T0076599,Patients and doctors should make health decisions — not government bureaucrats.,0.55
TC032709,C0327,T0042749,"The climate crisis is here — KY families are paying for it in floods, fires, and insurance bills. We need clean energy now.",-0.7
TC032710,C0327,T0035646,Government doesn't create prosperity — entrepreneurs do. Let's get Washington out of the way.,0.75
TC032711,C0327,T0054228,Talked supply chains and manufacturing with workers at the plant in Bremerton this morning.,0.0
TC032712,C0327,T0095158,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.,0.0
TC032713,C0327,T0059510,The Constitution isn't a suggestion. I'll defend free speech and religious liberty against any government overreach.,0.6
TC032714,C0327,T0097054,"American energy independence means drilling here, mining here, and building pipelines here.",0.75
TC032715,C0327,T0066151,REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.,0.6
TC032716,C0327,T0055882,Join us Saturday at 7pm for a town hall in Madison Heights! Doors open early — bring your questions.,0.0
TC032717,C0327,T0041521,"Unleash American energy. Lower prices at the pump start with producing more, not begging OPEC.",0.65
TC032718,C0327,T0053893,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.,0.0
TC032719,C0327,T0067833,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.,0.0
TC032720,C0327,T0059476,Inflation is a tax on every family. Washington's reckless spending has to stop.,0.6
TC032721,C0327,T0098041,"American energy independence means drilling here, mining here, and building pipelines here.",0.75
TC032722,C0327,T0062282,Crime stats out this morning. Soft-on-crime policies have a body of evidence now — and it's damning.,0.6
TC032723,C0327,T0089610,"Our new ad is live. Watch it, share it, and chip in $5 if you can.",0.0
TC032724,C0327,T0005743,Inflation is a tax on every family. Washington's reckless spending has to stop.,0.6
TC033300,C0333,T0090513,Dark money is drowning out LA voices. I support full disclosure of every political dollar.,-0.5
TC033301,C0333,T0015314,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.,0.0
TC033302,C0333,T0016023,Big Oil made record profits while your utility bill doubled. I'll end their subsidies.,-0.6
TC033303,C0333,T0076523,Study: universal pre-K pays for itself within a decade. Pass it on.,-0.55
TC033304,C0333,T0045927,"Immigrants power LA's farms, hospitals, and small businesses. Our economy depends on fixing this broken system.",-0.5
TC033305,C0333,T0058508,Toured the new energy facility in Fairview today. LA workers are second to none.,0.0
TC033306,C0333,T0077724,"The climate crisis is here — LA families are paying for it in floods, fires, and insurance bills. We need clean energy now.",-0.75
TC033307,C0333,T0013293,Toured the new energy facility in Summit today. LA workers are second to none.,0.0
TC033308,C0333,T0048927,I will vote to restore Roe's protections nationwide. LA women deserve nothing less.,-0.75
TC033309,C0333,T0100228,REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.,0.55
TC033310,C0333,T0089719,We can back the police AND demand accountability. Those aren't opposites.,-0.2
TC033311,C0333,T0006890,Debate schedule for the fall is out. Full calendar at the link.,0.0
TC033312,C0333,T0052536,This issue is deeply personal for families across LA. I'll always listen first.,0.0
TC033313,C0333,T0079391,"Abortion is healthcare, and healthcare decisions belong to patients — not politicians.",-0.75
TC033314,C0333,T0083600,"Real public safety means investing in communities — mental health response, youth programs, and accountable policing.",-0.6
TC033315,C0333,T0040267,Poll: overwhelming majority supports voter ID. This shouldn't be controversial.,0.6
TC033316,C0333,T0059856,"Every family in LA deserves access to quality, affordable care. Full stop.",-0.45
TC033317,C0333,T0103465,Honored to meet with veterans in Riverton today. We owe them more than words.,0.0
TC033318,C0333,T0071465,"The climate crisis is here — LA families are paying for it in floods, fires, and insurance bills. We need clean energy now.",-0.7
TC033319,C0333,T0022005,"Clean energy jobs are the future, and LA can lead. I'll fight for wind, solar, and battery manufacturing here at home.",-0.5
TC033320,C0333,T0073761,Toured the new energy facility in Lakewood today. LA workers are second to none.,0.0
TC033321,C0333,T0040765,Toured the new energy facility in Newport today. LA workers are second to none.,0.0
TC033322,C0333,T0006535,This map of clean-energy job growth should be front-page news.,-0.4
TC033323,C0333,T0089895,Our latest polling roundup for the 2022 midterms is live. Key races tightening.,0.0
TC033324,C0333,T0027855,This map of clean-energy job growth should be front-page news.,-0.5
