item_id,candidate_id,tweet_id,text
TC008510,C0085,T0040528,Childcare costs are crushing parents in CA. My plan caps costs and invests in providers.
TC008511,C0085,T0013937,Corporate consolidation is squeezing family farms and small businesses. We need real antitrust enforcement.
TC008512,C0085,T0048668,Filed our FEC report: best fundraising quarter yet. Thank you to every supporter.
TC008513,C0085,T0044077,This issue is deeply personal for families across CA. I'll always listen first.
TC008514,C0085,T0077613,Stopped by Georgetown Elementary today. Our teachers are heroes — period.
TC008515,C0085,T0019430,Honored to meet with veterans in Oak Ridge today. We owe them more than words.
TC008516,C0085,T0045051,"Clean energy jobs are the future, and CA can lead. I'll fight for wind, solar, and battery manufacturing here at home."
TC008517,C0085,T0036351,Debate night. Watch live at noon and see the contrast for yourself.
TC008518,C0085,T0096801,NEW REPORT: Corporate profits hit record highs while wages stagnate. The data is undeniable.
TC008519,C0085,T0023282,"The climate crisis is here — CA families are paying for it in floods, fires, and insurance bills. We need clean energy now."
TC008800,C0088,T0064698,"Illegal immigration drives down wages for CA workers. Enforce the law, protect American jobs."
TC008801,C0088,T0088222,We can protect people with pre-existing conditions without a big-government takeover of medicine.
TC008802,C0088,T0011044,Democracy works when we show up. Check your registration today — link in bio.
TC008803,C0088,T0037701,"Every family in CA deserves access to quality, affordable care. Full stop."
TC008804,C0088,T0017334,"The Second Amendment isn't negotiable. I'll oppose every gun grab, every time."
TC008805,C0088,T0092199,Toured the new energy facility in Cedar Falls today. CA workers are second to none.
TC008806,C0088,T0078243,Met with local business owners in Summit today about what they need to grow and hire.
TC008807,C0088,T0093566,Met with law enforcement and community leaders in Dover Plains about keeping our neighborhoods safe.
TC008808,C0088,T0089188,Democracy works when we show up. Check your registration today — link in bio.
TC008809,C0088,T0033668,Good jobs and a fair shot — that's what this campaign is about for CA.
TC008810,C0088,T0068691,Democracy works when we show up. Check your registration today — link in bio.
TC008811,C0088,T0075583,Small businesses in CA are drowning in red tape. I'll cut job-killing regulations on day one.
TC008812,C0088,T0056989,Gerrymandering lets politicians pick their voters. Independent commissions would fix that.
TC008813,C0088,T0001051,Our immigration system has been broken for decades. Both parties share the blame — CA deserves solutions.
TC008814,C0088,T0038236,"Every family in CA deserves access to quality, affordable care. Full stop."
TC008815,C0088,T0025374,Met with law enforcement and community leaders in Franklin about keeping our neighborhoods safe.
TC008816,C0088,T0069051,Sanctuary policies put CA communities at risk. I'll end them.
TC008817,C0088,T0099426,"Lower taxes, less government, more freedom. That's how we get CA's economy roaring again."
TC008818,C0088,T0072527,Price transparency and competition will lower costs faster than any government mandate.
TC008819,C0088,T0026320,We must balance the budget like every family in CA has to. No more blank checks.
TC008820,C0088,T0090871,The Constitution isn't a suggestion. I'll defend free speech and religious liberty against any government overreach.
TC008821,C0088,T0035465,Washington elites think they know better than CA voters. I trust the people.
TC008900,C0089,T0044441,Honored to meet with veterans in Harrisburg today. We owe them more than words.
TC008901,C0089,T0008186,Met with law enforcement and community leaders in Lakewood about keeping our neighborhoods safe.
TC008902,C0089,T0081517,"Human rights must be at the center of American foreign policy, not an afterthought."
TC008903,C0089,T0090031,Gun violence is a public health crisis. Prevention works — I've seen it in Bremerton.
TC008904,C0089,T0001414,This map of clean-energy job growth should be front-page news.
TC008905,C0089,T0055981,Corporate consolidation is squeezing family farms and small businesses. We need real antitrust enforcement.
TC008906,C0089,T0043066,Rural hospitals in CA are closing while insurers post record profits. That ends when we hold them accountable.
TC008907,C0089,T0035500,"Every family in CA deserves access to quality, affordable care. Full stop."
TC008908,C0089,T0067896,Union jobs built the middle class. I'm proud to stand with workers on the picket line in CA.
TC008909,C0089,T0028743,Honored to meet with veterans in Bremerton today. We owe them more than words.
TC008910,C0089,T0054318,Democracy works when we show up. Check your registration today — link in bio.
TC008911,C0089,T0017703,Big Oil made record profits while your utility bill doubled. I'll end their subsidies.
TC008912,C0089,T0076162,China is eating our lunch on trade and technology. I'll put American workers first.
TC008913,C0089,T0078051,I respect the Second Amendment AND believe weapons of war don't belong on our streets.
TC008914,C0089,T0014489,Childcare costs are crushing parents in CA. My plan caps costs and invests in providers.
TC008915,C0089,T0009726,Study: universal pre-K pays for itself within a decade. Pass it on.
TC008916,C0089,T0078678,"Human rights must be at the center of American foreign policy, not an afterthought."
TC008917,C0089,T0078649,"Clean energy jobs are the future, and CA can lead. I'll fight for wind, solar, and battery manufacturing here at home."
TC008918,C0089,T0079170,I respect the Second Amendment AND believe weapons of war don't belong on our streets.
TC008919,C0089,T0079661,We can back the police AND demand accountability. Those aren't opposites.
TC008920,C0089,T0002208,Corporate consolidation is squeezing family farms and small businesses. We need real antitrust enforcement.
TC008921,C0089,T0003439,Union jobs built the middle class. I'm proud to stand with workers on the picket line in CA.
TC008922,C0089,T0089357,Rode along with Georgetown officers last night. Grateful for what they do every shift.
TC008923,C0089,T0076551,"Every family in CA deserves access to quality, affordable care. Full stop."
TC008924,C0089,T0032642,Visited the community health center in Alton — grateful for the nurses and staff who keep it running.
TC011100,C0111,T0103375,Thank you Lakewood! Standing room only tonight. This movement is growing every single day.
TC011101,C0111,T0104222,Voter purges are quietly accelerating ahead of the midterms. We're tracking every state.
TC011102,C0111,T0066019,Dreamers are Americans in every way but paperwork. I'll vote for a pathway to citizenship.
TC011103,C0111,T0011466,Filed our FEC report: best fundraising quarter yet. Thank you to every supporter.
TC011104,C0111,T0031867,"Phone bank tonight at 6pm! Grab a coffee and join us — training provided, no experience needed."
TC011105,C0111,T0014454,Democracy works when we show up. Check your registration today — link in bio.
TC011106,C0111,T0036346,Knocking doors in Alton with an incredible team of volunteers today. The energy is real!
TC011107,C0111,T0060258,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.
TC011108,C0111,T0058665,"We just crossed 15,000 grassroots donors! Average gift: $27. This campaign is powered by people, not PACs."
TC011109,C0111,T0012744,Gun violence is a public health crisis. Prevention works — I've seen it in Georgetown.
TC011110,C0111,T0082022,Democracy works when we show up. Check your registration today — link in bio.
TC011111,C0111,T0036709,Soft-on-crime policies have consequences. I'll fight for tougher sentences for violent offenders.
TC011112,C0111,T0056868,"We just crossed 10,000 grassroots donors! Average gift: $27. This campaign is powered by people, not PACs."
TC011113,C0111,T0031102,Voter purges are quietly accelerating ahead of the midterms. We're tracking every state.
TC011114,C0111,T0023578,Gun violence is a public health crisis. Prevention works — I've seen it in Kingsport.
TC011115,C0111,T0004400,NEW REPORT: Corporate profits hit record highs while wages stagnate. The data is undeniable.
TC011116,C0111,T0064329,"Real public safety means investing in communities — mental health response, youth programs, and accountable policing."
TC011117,C0111,T0022809,NEW REPORT: Corporate profits hit record highs while wages stagnate. The data is undeniable.
TC011118,C0111,T0002873,REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.
TC011119,C0111,T0102269,"I'll fight to expand Medicaid and cap insulin costs for every patient, not just some."
TC011120,C0111,T0099384,Election integrity matters. Voter ID is common sense and most Americans agree.
TC011121,C0111,T0069445,BREAKING: Another state expands Medicaid — and rural hospitals immediately benefit.
TC011122,C0111,T0102716,Stopped by Harrisburg Elementary today. Our teachers are heroes — period.
TC011123,C0111,T0049311,Our latest polling roundup for the 2022 midterms is live. Key races tightening.
TC011124,C0111,T0087131,Union jobs built the middle class. I'm proud to stand with workers on the picket line in CA.
TC023700,C0237,T0098669,Visited the community health center in Millbrook — grateful for the nurses and staff who keep it running.
TC023701,C0237,T0027515,Voting should be easy and secure — for everyone. I'll fight voter suppression wherever it appears.
TC023702,C0237,T0076398,Voting should be easy and secure — for everyone. I'll fight voter suppression wherever it appears.
TC023703,C0237,T0095316,Stopped by Harrisburg Elementary today. Our teachers are heroes — period.
TC023704,C0237,T0005789,Big Pharma spends millions lobbying to keep prices high. I don't take their money — and I'll vote to negotiate prices.
TC023705,C0237,T0014155,Big Pharma spends millions lobbying to keep prices high. I don't take their money — and I'll vote to negotiate prices.
TC023706,C0237,T0064126,Stopped by Madison Heights Elementary today. Our teachers are heroes — period.
TC023707,C0237,T0086916,Rural hospitals in GA are closing while insurers post record profits. That ends when we hold them accountable.
TC023708,C0237,T0027488,Working families deserve a raise. I'll fight to lift the minimum wage and rein in corporate price gouging.
TC023709,C0237,T0011861,"Immigrants power GA's farms, hospitals, and small businesses. Our economy depends on fixing this broken system."
TC023710,C0237,T0042975,"Standing with our allies isn't weakness, it's strength. Alliances keep Americans safe."
TC023711,C0237,T0039839,China is eating our lunch on trade and technology. I'll put American workers first.
TC023712,C0237,T0064299,"Unleash American energy. Lower prices at the pump start with producing more, not begging OPEC."
TC023713,C0237,T0079402,Honored to meet with veterans in Kingsport today. We owe them more than words.
TC023714,C0237,T0017487,Visited the community health center in Madison Heights — grateful for the nurses and staff who keep it running.
TC023715,C0237,T0034476,Peace through strength. A strong military is the best guarantee our enemies stay in check.
TC023716,C0237,T0057925,"Every kid in GA deserves a great public school — fully funded, with teachers paid what they're worth."
TC023717,C0237,T0040189,Big Oil made record profits while your utility bill doubled. I'll end their subsidies.
TC023718,C0237,T0069259,"Happy Veterans Day from our family to yours, GA!"
TC023719,C0237,T0091882,Billionaires shouldn't pay a lower tax rate than teachers. Time to make the wealthy pay their fair share.
TC023720,C0237,T0021126,Stopped by Clayton Elementary today. Our teachers are heroes — period.
TC023721,C0237,T0032378,"Human rights must be at the center of American foreign policy, not an afterthought."
TC023722,C0237,T0083438,Stopped by Bremerton Elementary today. Our teachers are heroes — period.
TC023723,C0237,T0017558,"Standing with our allies isn't weakness, it's strength. Alliances keep Americans safe."
TC023724,C0237,T0047066,Yard signs are IN. Swing by the Bremerton office and grab one this weekend!
TC025600,C0256,T0054986,Rode along with Millbrook officers last night. Grateful for what they do every shift.
TC025601,C0256,T0035225,Turnout in this week's primaries beat 2018 levels in most counties.
TC025602,C0256,T0019925,This map of clean-energy job growth should be front-page news.
TC025603,C0256,T0083154,Union jobs built the middle class. I'm proud to stand with workers on the picket line in IL.
TC025604,C0256,T0040854,Childcare costs are crushing parents in IL. My plan caps costs and invests in providers.
TC025605,C0256,T0077946,"Real public safety means investing in communities — mental health response, youth programs, and accountable policing."
TC025606,C0256,T0059525,Met with local business owners in Millbrook today about what they need to grow and hire.
TC025607,C0256,T0063181,"I'll always back the blue. Our officers in IL deserve support, not defunding."
TC025608,C0256,T0045716,"We just crossed 10,000 grassroots donors! Average gift: $27. This campaign is powered by people, not PACs."
TC025609,C0256,T0051647,The Constitution isn't a suggestion. I'll defend free speech and religious liberty against any government overreach.
TC025610,C0256,T0065608,Yard signs are IN. Swing by the Greenville office and grab one this weekend!
TC025611,C0256,T0070204,"Every kid in IL deserves a great public school — fully funded, with teachers paid what they're worth."
TC025612,C0256,T0044283,Our latest polling roundup for the 2022 midterms is live. Key races tightening.
TC025613,C0256,T0102666,Union jobs built the middle class. I'm proud to stand with workers on the picket line in IL.
TC025614,C0256,T0089204,Corporate consolidation is squeezing family farms and small businesses. We need real antitrust enforcement.
TC025615,C0256,T0092303,Good jobs and a fair shot — that's what this campaign is about for IL.
TC025616,C0256,T0032027,"Clean energy jobs are the future, and IL can lead. I'll fight for wind, solar, and battery manufacturing here at home."
TC025617,C0256,T0093220,Student debt is holding back a generation. I support relief and free community college.
TC025618,C0256,T0022223,Good jobs and a fair shot — that's what this campaign is about for IL.
TC025800,C0258,T0031060,Every family deserves a safe neighborhood. Law and order is on the ballot.
TC025801,C0258,T0087996,Poll: overwhelming majority supports voter ID. This shouldn't be controversial.
TC025802,C0258,T0077325,Crime stats out this morning. Soft-on-crime policies have a body of evidence now — and it's damning.
TC025803,C0258,T0009831,Our latest polling roundup for the 2022 midterms is live. Key races tightening.
TC025804,C0258,T0053478,Our immigration system has been broken for decades. Both parties share the blame — IL deserves solutions.
TC025805,C0258,T0049420,"We just crossed 15,000 grassroots donors! Average gift: $27. This campaign is powered by people, not PACs."
TC025806,C0258,T0001617,Stopped by Oak Ridge Elementary today. Our teachers are heroes — period.
TC025807,C0258,T0018907,Our immigration system has been broken for decades. Both parties share the blame — IL deserves solutions.
TC025808,C0258,T0082876,Our immigration system has been broken for decades. Both parties share the blame — IL deserves solutions.
TC025809,C0258,T0038939,Our latest polling roundup for the 2022 midterms is live. Key races tightening.
TC025810,C0258,T0027055,Join us Saturday at 2pm for a town hall in Madison Heights! Doors open early — bring your questions.
TC025811,C0258,T0074256,"Our new ad is live. Watch it, share it, and chip in $5 if you can."
TC025812,C0258,T0086144,Turnout in this week's primaries beat 2018 levels in most counties.
TC025813,C0258,T0056784,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.
TC025814,C0258,T0088216,Poll: overwhelming majority supports voter ID. This shouldn't be controversial.
TC025815,C0258,T0006679,"Get politics out of the classroom and get back to reading, writing, and math."
TC029300,C0293,T0028437,Yard signs are IN. Swing by the Kingsport office and grab one this weekend!
TC029301,C0293,T0103504,Poll: overwhelming majority supports voter ID. This shouldn't be controversial.
TC029302,C0293,T0065251,I am proudly pro-life and will always defend the unborn.
TC029303,C0293,T0099723,I'm a proud gun owner and I'll defend your constitutional rights in Washington.
TC029304,C0293,T0100360,Taxpayer dollars should never fund abortion. I'll hold that line in Congress.
TC029305,C0293,T0053383,Toured the new energy facility in Summit today. IN workers are second to none.
TC029306,C0293,T0008322,Soft-on-crime policies have consequences. I'll fight for tougher sentences for violent offenders.
TC029307,C0293,T0007698,"Illegal immigration drives down wages for IN workers. Enforce the law, protect American jobs."
TC029308,C0293,T0011214,Yard signs are IN. Swing by the Kingsport office and grab one this weekend!
TC029309,C0293,T0011822,I'm a proud gun owner and I'll defend your constitutional rights in Washington.
TC029310,C0293,T0101733,New analysis: energy mandates will raise household electric bills sharply. Voters deserve the truth.
TC029311,C0293,T0048267,"School choice gives every IN family a shot at a great education, regardless of zip code."
TC029312,C0293,T0089430,"School choice gives every IN family a shot at a great education, regardless of zip code."
TC029313,C0293,T0021363,Rode along with Harrisburg officers last night. Grateful for what they do every shift.
TC029314,C0293,T0079348,Rode along with Dover Plains officers last night. Grateful for what they do every shift.
TC029315,C0293,T0027800,Met with law enforcement and community leaders in Newport about keeping our neighborhoods safe.
TC029316,C0293,T0003043,Secure the border. Period. I'll fund the wall and back our Border Patrol agents 100%.
TC029317,C0293,T0007364,Our immigration system has been broken for decades. Both parties share the blame — IN deserves solutions.
TC029318,C0293,T0013382,Early voting starts soon in IN. Make your plan now — every single vote counts.
TC029319,C0293,T0103079,Thank you Oak Ridge! Standing room only tonight. This movement is growing every single day.
TC029320,C0293,T0098510,Parents — not bureaucrats — should decide what their kids learn. I'll fight for parental rights in every classroom.
TC029321,C0293,T0004883,Peace through strength. A strong military is the best guarantee our enemies stay in check.
TC029322,C0293,T0045270,Rode along with Oak Ridge officers last night. Grateful for what they do every shift.
TC029323,C0293,T0059422,Democracy works when we show up. Check your registration today — link in bio.
TC029324,C0293,T0043661,I'm a proud gun owner and I'll defend your constitutional rights in Washington.
TC032400,C0324,T0092486,Election integrity matters. Voter ID is common sense and most Americans agree.
TC032401,C0324,T0057136,We must balance the budget like every family in KY has to. No more blank checks.
TC032402,C0324,T0002707,Washington-run healthcare means longer waits and fewer choices. I'll defend private options for KY families.
TC032403,C0324,T0034351,Border crossings surge again — where is the accountability?
TC032404,C0324,T0017238,Early voting starts soon in KY. Make your plan now — every single vote counts.
TC032405,C0324,T0049474,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.
TC032406,C0324,T0074311,Voter purges are quietly accelerating ahead of the midterms. We're tracking every state.
TC032407,C0324,T0021950,Debate night. Watch live at 2pm and see the contrast for yourself.
TC032408,C0324,T0035917,Soft-on-crime policies have consequences. I'll fight for tougher sentences for violent offenders.
TC032409,C0324,T0050610,Soft-on-crime policies have consequences. I'll fight for tougher sentences for violent offenders.
TC032410,C0324,T0089911,Thank you Kingsport! Standing room only tonight. This movement is growing every single day.
TC032700,C0327,T0024604,Poll: overwhelming majority supports voter ID. This shouldn't be controversial.
TC032701,C0327,T0045522,Dreamers are Americans in every way but paperwork. I'll vote for a pathway to citizenship.
TC032702,C0327,T0084585,"Illegal immigration drives down wages for KY workers. Enforce the law, protect American jobs."
TC032703,C0327,T0074800,Crime stats out this morning. Soft-on-crime policies have a body of evidence now — and it's damning.
TC032704,C0327,T0077667,Knocking doors in Greenville with an incredible team of volunteers today. The energy is real!
TC032705,C0327,T0083857,Debate schedule for the fall is out. Full calendar at the link.
TC032706,C0327,T0002207,Debate schedule for the fall is out. Full calendar at the link.
TC032707,C0327,T0043663,Debate schedule for the fall is out. Full calendar at the link.
TC032708,C0327,T0076599,Patients and doctors should make health decisions — not government bureaucrats.
TC032709,C0327,T0042749,"The climate crisis is here — KY families are paying for it in floods, fires, and insurance bills. We need clean energy now."
TC032710,C0327,T0035646,Government doesn't create prosperity — entrepreneurs do. Let's get Washington out of the way.
TC032711,C0327,T0054228,Talked supply chains and manufacturing with workers at the plant in Bremerton this morning.
TC032712,C0327,T0095158,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.
TC032713,C0327,T0059510,The Constitution isn't a suggestion. I'll defend free speech and religious liberty against any government overreach.
TC032714,C0327,T0097054,"American energy independence means drilling here, mining here, and building pipelines here."
TC032715,C0327,T0066151,REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.
TC032716,C0327,T0055882,Join us Saturday at 7pm for a town hall in Madison Heights! Doors open early — bring your questions.
TC032717,C0327,T0041521,"Unleash American energy. Lower prices at the pump start with producing more, not begging OPEC."
TC032718,C0327,T0053893,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.
TC032719,C0327,T0067833,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.
TC032720,C0327,T0059476,Inflation is a tax on every family. Washington's reckless spending has to stop.
TC032721,C0327,T0098041,"American energy independence means drilling here, mining here, and building pipelines here."
TC032722,C0327,T0062282,Crime stats out this morning. Soft-on-crime policies have a body of evidence now — and it's damning.
TC032723,C0327,T0089610,"Our new ad is live. Watch it, share it, and chip in $5 if you can."
TC032724,C0327,T0005743,Inflation is a tax on every family. Washington's reckless spending has to stop.
TC033300,C0333,T0090513,Dark money is drowning out LA voices. I support full disclosure of every political dollar.
TC033301,C0333,T0015314,ICYMI: our candidate tracker now covers every House and Senate race. Bookmark it.
TC033302,C0333,T0016023,Big Oil made record profits while your utility bill doubled. I'll end their subsidies.
TC033303,C0333,T0076523,Study: universal pre-K pays for itself within a decade. Pass it on.
TC033304,C0333,T0045927,"Immigrants power LA's farms, hospitals, and small businesses. Our economy depends on fixing this broken system."
TC033305,C0333,T0058508,Toured the new energy facility in Fairview today. LA workers are second to none.
TC033306,C0333,T0077724,"The climate crisis is here — LA families are paying for it in floods, fires, and insurance bills. We need clean energy now."
TC033307,C0333,T0013293,Toured the new energy facility in Summit today. LA workers are second to none.
TC033308,C0333,T0048927,I will vote to restore Roe's protections nationwide. LA women deserve nothing less.
TC033309,C0333,T0100228,REPORT: Federal regulations cost small businesses billions last year. Time to cut the red tape.
TC033310,C0333,T0089719,We can back the police AND demand accountability. Those aren't opposites.
TC033311,C0333,T0006890,Debate schedule for the fall is out. Full calendar at the link.
TC033312,C0333,T0052536,This issue is deeply personal for families across LA. I'll always listen first.
TC033313,C0333,T0079391,"Abortion is healthcare, and healthcare decisions belong to patients — not politicians."
TC033314,C0333,T0083600,"Real public safety means investing in communities — mental health response, youth programs, and accountable policing."
TC033315,C0333,T0040267,Poll: overwhelming majority supports voter ID. This shouldn't be controversial.
TC033316,C0333,T0059856,"Every family in LA deserves access to quality, affordable care. Full stop."
TC033317,C0333,T0103465,Honored to meet with veterans in Riverton today. We owe them more than words.
TC033318,C0333,T0071465,"The climate crisis is here — LA families are paying for it in floods, fires, and insurance bills. We need clean energy now."
TC033319,C0333,T0022005,"Clean energy jobs are the future, and LA can lead. I'll fight for wind, solar, and battery manufacturing here at home."
TC033320,C0333,T0073761,Toured the new energy facility in Lakewood today. LA workers are second to none.
TC033321,C0333,T0040765,Toured the new energy facility in Newport today. LA workers are second to none.
TC033322,C0333,T0006535,This map of clean-energy job growth should be front-page news.
TC033323,C0333,T0089895,Our latest polling roundup for the 2022 midterms is live. Key races tightening.
TC033324,C0333,T0027855,This map of clean-energy job growth should be front-page news.
TC042000,C0420,T0053719,Gerrymandering lets politicians pick their voters. Independent commissions would fix that.
TC042001,C0420,T0095656,Gerrymandering lets politicians pick their voters. Independent commissions would fix that.
TC042002,C0420,T0018313,Voter purges are quietly accelerating ahead of the midterms. We're tracking every state.
TC042003,C0420,T0062277,Met with law enforcement and community leaders in Bremerton about keeping our neighborhoods safe.
TC042004,C0420,T0097185,"Phone bank tonight at 2pm! Grab a coffee and join us — training provided, no experience needed."
TC042005,C0420,T0057090,Visited the community health center in Springdale — grateful for the nurses and staff who keep it running.
TC042006,C0420,T0082127,Study: universal pre-K pays for itself within a decade. Pass it on.
TC042007,C0420,T0099161,Voting should be easy and secure — for everyone. I'll fight voter suppression wherever it appears.
TC042008,C0420,T0062029,Yard signs are IN. Swing by the Bremerton office and grab one this weekend!
TC042009,C0420,T0081880,NEW REPORT: Corporate profits hit record highs while wages stagnate. The data is undeniable.
TC042010,C0420,T0020255,"I'll fight to expand Medicaid and cap insulin costs for every patient, not just some."
TC042011,C0420,T0089251,This map of clean-energy job growth should be front-page news.
TC042012,C0420,T0053931,Thank you Alton! Standing room only tonight. This movement is growing every single day.
TC042013,C0420,T0000161,Democracy works when we show up. Check your registration today — link in bio.
TC042014,C0420,T0050866,Voting should be easy and secure — for everyone. I'll fight voter suppression wherever it appears.
TC042015,C0420,T0064616,Democracy works when we show up. Check your registration today — link in bio.
TC042016,C0420,T0103518,Yard signs are IN. Swing by the Oak Ridge office and grab one this weekend!
TC042017,C0420,T0032200,"Human rights must be at the center of American foreign policy, not an afterthought."
TC042018,C0420,T0100963,Study: universal pre-K pays for itself within a decade. Pass it on.
TC042019,C0420,T0010656,This map of clean-energy job growth should be front-page news.
TC042020,C0420,T0075654,Diplomacy first. Endless wars cost MS families dearly — in lives and in dollars.
TC042021,C0420,T0097977,This issue is deeply personal for families across MS. I'll always listen first.
TC042022,C0420,T0009989,Our latest polling roundup for the 2022 midterms is live. Key races tightening.
TC042023,C0420,T0042709,Crime stats out this morning. Soft-on-crime policies have a body of evidence now — and it's damning.
TC042024,C0420,T0068320,Democracy works when we show up. Check your registration today — link in bio.
TC048900,C0489,T0063041,"New endorsement dropping tomorrow morning. Stay tuned, NJ!"
TC048901,C0489,T0104382,Gerrymandering lets politicians pick their voters. Independent commissions would fix that.
TC048902,C0489,T0012184,Rural hospitals in NJ are closing while insurers post record profits. That ends when we hold them accountable.
TC048903,C0489,T0068343,"Happy Thanksgiving from our family to yours, NJ!"
