bundle_id,candidate_id,rep,condition,n_tweets,small_bundle,tweet_ids
M1C0066,C0066,1,main,25,False,T0091707|T0049102|T0008266|T0044026|T0072368|T0067970|T0009732|T0058314|T0092279|T0084819|T0070994|T0061527|T0082794|T0013260|T0016954|T0029018|T0008190|T0092385|T0093816|T0036987|T0100941|T0059709|T0045988|T0013712|T0103595
M1C0068,C0068,1,main,25,False,T0028311|T0053684|T0029746|T0064574|T0094412|T0029637|T0039048|T0003927|T0081029|T0096328|T0013609|T0103331|T0068998|T0023462|T0022810|T0085044|T0015950|T0024577|T0008668|T0081007|T0093974|T0022907|T0041079|T0054012|T0013611
M1C0072,C0072,1,main,25,False,T0025090|T0074641|T0081157|T0041155|T0079307|T0006454|T0103014|T0075585|T0048227|T0072226|T0083781|T0009850|T0089528|T0086744|T0103831|T0094863|T0000055|T0029178|T0001952|T0083392|T0008037|T0103120|T0065987|T0036038|T0016662
M1C0075,C0075,1,main,25,False,T0005282|T0058837|T0088437|T0034198|T0104003|T0055702|T0089416|T0005825|T0093031|T0082498|T0006981|T0014630|T0097431|T0024695|T0063015|T0042771|T0040536|T0083173|T0018296|T0063932|T0073004|T0093103|T0063485|T0067619|T0007878
M1C0085,C0085,1,main,20,True,T0049455|T0066534|T0078368|T0063258|T0047052|T0076081|T0038130|T0049861|T0083432|T0030386|T0040528|T0013937|T0048668|T0044077|T0077613|T0019430|T0045051|T0036351|T0096801|T0023282
M1C0088,C0088,1,main,22,True,T0064698|T0088222|T0011044|T0037701|T0017334|T0092199|T0078243|T0093566|T0089188|T0033668|T0068691|T0075583|T0056989|T0001051|T0038236|T0025374|T0069051|T0099426|T0072527|T0026320|T0090871|T0035465
M1C0089,C0089,1,main,25,False,T0044441|T0008186|T0081517|T0090031|T0001414|T0055981|T0043066|T0035500|T0067896|T0028743|T0054318|T0017703|T0076162|T0078051|T0014489|T0009726|T0078678|T0078649|T0079170|T0079661|T0002208|T0003439|T0089357|T0076551|T0032642
M1C0093,C0093,1,main,25,False,T0023659|T0011435|T0038420|T0093040|T0088450|T0100523|T0093294|T0020381|T0100960|T0102580|T0093749|T0062538|T0052891|T0070347|T0090737|T0052910|T0069353|T0018300|T0081178|T0092602|T0083126|T0030962|T0025750|T0063656|T0036704
M1C0101,C0101,1,main,9,True,T0011529|T0037606|T0014973|T0001969|T0021796|T0071688|T0046752|T0100419|T0036274
M1C0104,C0104,1,main,25,False,T0059266|T0020107|T0019088|T0040482|T0081848|T0057703|T0104250|T0081229|T0088937|T0053782|T0020428|T0016712|T0078077|T0009408|T0003213|T0080340|T0009640|T0076331|T0059599|T0068448|T0046585|T0085560|T0067076|T0084184|T0062256
M1C0107,C0107,1,main,25,False,T0047267|T0032026|T0096065|T0072350|T0038377|T0075035|T0007940|T0043440|T0032374|T0038216|T0017187|T0056797|T0104543|T0081280|T0019876|T0060002|T0084528|T0072122|T0040495|T0076017|T0097046|T0056329|T0030671|T0056560|T0077504
M1C0111,C0111,1,main,25,False,T0103375|T0104222|T0066019|T0011466|T0031867|T0014454|T0036346|T0060258|T0058665|T0012744|T0082022|T0036709|T0056868|T0031102|T0023578|T0004400|T0064329|T0022809|T0002873|T0102269|T0099384|T0069445|T0102716|T0049311|T0087131
M1C0134,C0134,1,main,25,False,T0101623|T0076489|T0023204|T0084028|T0101994|T0011997|T0031074|T0044749|T0021613|T0008156|T0037475|T0073527|T0056476|T0013223|T0034812|T0073440|T0044705|T0087211|T0046160|T0020062|T0051049|T0033147|T0100716|T0090686|T0039248
M1C0142,C0142,1,main,25,False,T0025675|T0040526|T0019753|T0090992|T0055443|T0099096|T0051800|T0088472|T0057125|T0023796|T0048730|T0086688|T0076836|T0009328|T0057176|T0078100|T0005233|T0102699|T0033887|T0079888|T0032785|T0042507|T0005587|T0032873|T0046307
M1C0144,C0144,1,main,25,False,T0090522|T0013486|T0071459|T0100625|T0018119|T0001926|T0080042|T0002680|T0086350|T0058582|T0061204|T0097249|T0030900|T0096132|T0063478|T0001767|T0032480|T0037605|T0091536|T0024689|T0007695|T0000746|T0019249|T0025763|T0030134
M1C0146,C0146,1,main,25,False,T0093240|T0026348|T0065036|T0022337|T0008385|T0017864|T0013954|T0099231|T0085613|T0027697|T0101738|T0092669|T0095245|T0055664|T0093147|T0061854|T0030150|T0008396|T0032664|T0095113|T0102382|T0053504|T0081537|T0006560|T0018576
M1C0155,C0155,1,main,25,False,T0032058|T0034672|T0053808|T0064196|T0051623|T0010514|T0042609|T0032867|T0066857|T0006383|T0048345|T0076946|T0003153|T0051486|T0088015|T0023779|T0031708|T0049949|T0062517|T0101030|T0065988|T0010487|T0046226|T0061041|T0004724
M1C0170,C0170,1,main,25,False,T0030459|T0037774|T0098589|T0014052|T0022983|T0087646|T0099235|T0050787|T0014344|T0040589|T0081267|T0008325|T0026761|T0024348|T0073293|T0095517|T0073660|T0085316|T0040659|T0010668|T0015542|T0084279|T0039507|T0030067|T0067419
M1C0174,C0174,1,main,25,False,T0024696|T0103570|T0026852|T0102498|T0058342|T0019081|T0074558|T0003697|T0096434|T0049552|T0045088|T0036605|T0055189|T0050510|T0085971|T0047560|T0030000|T0027367|T0070029|T0045460|T0001682|T0002666|T0082809|T0007514|T0054820
M1C0184,C0184,1,main,25,False,T0005299|T0000187|T0022306|T0010974|T0038374|T0038505|T0007637|T0086345|T0084098|T0015932|T0000275|T0013229|T0001351|T0011101|T0091772|T0098489|T0007423|T0075456|T0093560|T0072423|T0069070|T0044027|T0096197|T0018988|T0054231
M1C0192,C0192,1,main,25,False,T0031573|T0040653|T0019403|T0103377|T0094423|T0028099|T0067932|T0098198|T0096017|T0082804|T0051419|T0103637|T0040099|T0067743|T0065196|T0041215|T0102573|T0089797|T0038399|T0099565|T0077205|T0017782|T0036652|T0091288|T0093990
M1C0193,C0193,1,main,25,False,T0057551|T0052431|T0060670|T0040772|T0035907|T0014583|T0036677|T0015066|T0007438|T0102238|T0045558|T0010833|T0040128|T0090822|T0058458|T0049572|T0091959|T0059557|T0029731|T0021228|T0083795|T0008198|T0049805|T0086879|T0011783
M1C0196,C0196,1,main,25,False,T0101760|T0005213|T0103948|T0032452|T0084158|T0027066|T0103304|T0060613|T0004306|T0010281|T0015398|T0055277|T0006085|T0008670|T0101434|T0054610|T0079282|T0103741|T0084958|T0032286|T0082383|T0066655|T0011259|T0072290|T0005572
M1C0201,C0201,1,main,25,False,T0029153|T0090277|T0008830|T0069760|T0089107|T0071799|T0020054|T0080279|T0085094|T0104429|T0015928|T0054319|T0020193|T0053320|T0043239|T0026343|T0036580|T0019341|T0050175|T0002877|T0024581|T0037975|T0057200|T0015718|T0101633
M1C0209,C0209,1,main,20,True,T0031681|T0068997|T0048251|T0103970|T0085129|T0024410|T0060574|T0016863|T0024432|T0064640|T0003076|T0082755|T0082268|T0086129|T0081237|T0028007|T0013618|T0021780|T0037570|T0045911
M1C0226,C0226,1,main,25,False,T0054378|T0098549|T0024525|T0074871|T0038187|T0031162|T0086429|T0038410|T0086739|T0012246|T0045355|T0060735|T0033781|T0001520|T0020095|T0084514|T0044003|T0030705|T0038041|T0048105|T0013350|T0087067|T0087591|T0085426|T0038227
M1C0228,C0228,1,main,25,False,T0036117|T0016922|T0081133|T0045309|T0068850|T0077211|T0087177|T0041248|T0067471|T0062738|T0036616|T0039631|T0007609|T0052735|T0091788|T0014065|T0002015|T0095372|T0080526|T0007367|T0085630|T0014851|T0027843|T0020679|T0064946
M1C0237,C0237,1,main,25,False,T0098669|T0027515|T0076398|T0095316|T0005789|T0014155|T0064126|T0086916|T0027488|T0011861|T0042975|T0039839|T0064299|T0079402|T0017487|T0034476|T0057925|T0040189|T0069259|T0091882|T0021126|T0032378|T0083438|T0017558|T0047066
M1C0242,C0242,1,main,25,False,T0071918|T0055051|T0093782|T0096664|T0102288|T0092953|T0066066|T0013013|T0047068|T0069237|T0019912|T0015529|T0080541|T0081831|T0046512|T0047303|T0097806|T0095115|T0020927|T0011325|T0073594|T0017475|T0071832|T0027116|T0085157
M1C0244,C0244,1,main,25,False,T0096259|T0044630|T0049469|T0039226|T0039834|T0079815|T0045400|T0052674|T0014850|T0033376|T0093008|T0092210|T0082367|T0014279|T0008673|T0061585|T0067176|T0095506|T0102384|T0046244|T0100692|T0021288|T0020400|T0103621|T0048802
M1C0250,C0250,1,main,24,True,T0034374|T0035413|T0020366|T0101612|T0070495|T0098964|T0053865|T0088720|T0097211|T0009257|T0025428|T0014839|T0070172|T0092106|T0031389|T0032854|T0087060|T0093727|T0097877|T0009066|T0097978|T0002689|T0043604|T0019295
M1C0256,C0256,1,main,19,True,T0054986|T0035225|T0019925|T0083154|T0040854|T0077946|T0059525|T0063181|T0045716|T0051647|T0065608|T0070204|T0044283|T0102666|T0089204|T0092303|T0032027|T0093220|T0022223
M1C0258,C0258,1,main,16,True,T0031060|T0087996|T0077325|T0009831|T0053478|T0049420|T0001617|T0018907|T0082876|T0038939|T0027055|T0074256|T0086144|T0056784|T0088216|T0006679
M1C0263,C0263,1,main,25,False,T0012734|T0050688|T0072457|T0093394|T0039348|T0020081|T0042984|T0025480|T0088947|T0028853|T0067858|T0043875|T0031827|T0037762|T0099910|T0013302|T0053112|T0090580|T0077892|T0011667|T0040146|T0095028|T0053996|T0056746|T0021766
M1C0264,C0264,1,main,25,False,T0074286|T0061480|T0018686|T0065383|T0089932|T0026653|T0029543|T0044743|T0053571|T0103168|T0097290|T0018320|T0071034|T0004775|T0092805|T0068545|T0024685|T0019839|T0005562|T0097267|T0022574|T0061893|T0027313|T0047015|T0084044
M1C0265,C0265,1,main,25,False,T0009852|T0078115|T0015915|T0018842|T0053416|T0017681|T0041308|T0099246|T0042327|T0052602|T0031783|T0055162|T0047125|T0059235|T0037821|T0081685|T0067398|T0057866|T0003917|T0094162|T0039334|T0042293|T0058211|T0094988|T0092856
M1C0267,C0267,1,main,23,True,T0042755|T0038579|T0084916|T0048682|T0003273|T0011892|T0071108|T0042780|T0094641|T0082576|T0055085|T0027192|T0071178|T0066760|T0094049|T0046017|T0045748|T0078474|T0084231|T0021634|T0014469|T0049873|T0053868
M1C0277,C0277,1,main,25,False,T0095687|T0076075|T0102484|T0002908|T0091664|T0099822|T0020510|T0057573|T0024742|T0083451|T0077231|T0006702|T0022182|T0043360|T0087596|T0074018|T0019978|T0025311|T0052714|T0015834|T0102639|T0085820|T0079035|T0021648|T0093878
M1C0293,C0293,1,main,25,False,T0028437|T0103504|T0065251|T0099723|T0100360|T0053383|T0008322|T0007698|T0011214|T0011822|T0101733|T0048267|T0089430|T0021363|T0079348|T0027800|T0003043|T0007364|T0013382|T0103079|T0098510|T0004883|T0045270|T0059422|T0043661
M1C0294,C0294,1,main,25,False,T0041196|T0054803|T0058759|T0079831|T0020685|T0056852|T0091744|T0049463|T0024870|T0101245|T0042796|T0091061|T0000280|T0031653|T0018106|T0090085|T0091447|T0050736|T0072582|T0094463|T0027669|T0100021|T0086741|T0010644|T0049466
M1C0299,C0299,1,main,25,False,T0000631|T0068948|T0026068|T0069701|T0092614|T0033297|T0022637|T0000179|T0047551|T0098253|T0032665|T0048606|T0016930|T0051775|T0095894|T0005539|T0084127|T0082953|T0086161|T0022296|T0050687|T0082799|T0058015|T0051803|T0078503
M1C0305,C0305,1,main,25,False,T0078437|T0090432|T0009274|T0081818|T0057968|T0089913|T0037627|T0039299|T0016262|T0095760|T0022679|T0085018|T0021677|T0097104|T0011673|T0082458|T0073324|T0021810|T0054770|T0077593|T0096240|T0066416|T0010553|T0100562|T0062092
M1C0321,C0321,1,main,25,False,T0035932|T0102857|T0088505|T0004962|T0066080|T0052341|T0025188|T0043677|T0020451|T0099367|T0045952|T0095362|T0004477|T0064767|T0047809|T0081981|T0011511|T0064554|T0024230|T0071741|T0069254|T0073420|T0019861|T0040108|T0041889
M1C0324,C0324,1,main,11,True,T0092486|T0057136|T0002707|T0034351|T0017238|T0049474|T0074311|T0021950|T0035917|T0050610|T0089911
M1C0327,C0327,1,main,25,False,T0024604|T0045522|T0084585|T0074800|T0077667|T0083857|T0002207|T0043663|T0076599|T0042749|T0035646|T0054228|T0095158|T0059510|T0097054|T0066151|T0055882|T0041521|T0053893|T0067833|T0059476|T0098041|T0062282|T0089610|T0005743
M1C0330,C0330,1,main,25,False,T0095740|T0096780|T0098897|T0047020|T0005081|T0073880|T0029144|T0037657|T0024346|T0067851|T0016285|T0070317|T0068022|T0048954|T0082210|T0036522|T0053949|T0048294|T0034503|T0046480|T0036382|T0030417|T0055663|T0010790|T0070470
M1C0333,C0333,1,main,25,False,T0090513|T0015314|T0016023|T0076523|T0045927|T0058508|T0077724|T0013293|T0048927|T0100228|T0089719|T0006890|T0052536|T0079391|T0083600|T0040267|T0059856|T0103465|T0071465|T0022005|T0073761|T0040765|T0006535|T0089895|T0027855
M1C0338,C0338,1,main,25,False,T0039654|T0048461|T0045017|T0093801|T0031278|T0097686|T0015618|T0074000|T0080630|T0042473|T0011879|T0035683|T0047395|T0065449|T0059018|T0065959|T0027834|T0035296|T0013268|T0096173|T0072989|T0085078|T0046368|T0044697|T0053998
M1C0340,C0340,1,main,17,True,T0050683|T0036386|T0056871|T0069278|T0011387|T0101003|T0071960|T0010409|T0082185|T0083637|T0033686|T0031377|T0022728|T0039975|T0100998|T0080512|T0055430
M1C0343,C0343,1,main,25,False,T0099341|T0083246|T0103686|T0053372|T0016342|T0058010|T0101948|T0048138|T0088257|T0064167|T0016318|T0070733|T0083031|T0099608|T0070684|T0081452|T0074941|T0013665|T0067672|T0018982|T0007483|T0032262|T0015561|T0030082|T0102628
M1C0347,C0347,1,main,25,False,T0078888|T0090869|T0023624|T0075405|T0088625|T0073347|T0029309|T0077366|T0095798|T0035823|T0070049|T0073433|T0008523|T0093788|T0056174|T0079315|T0071066|T0002400|T0031958|T0004732|T0048688|T0095347|T0045078|T0039294|T0095064
M1C0357,C0357,1,main,25,False,T0080197|T0012348|T0079861|T0097279|T0011128|T0063575|T0020064|T0057491|T0071210|T0016737|T0048825|T0036527|T0033314|T0072851|T0017593|T0101912|T0042148|T0063079|T0073276|T0093906|T0016169|T0085839|T0077858|T0066886|T0078614
M1C0366,C0366,1,main,25,False,T0095420|T0035965|T0049955|T0046632|T0047282|T0067871|T0077733|T0043170|T0015468|T0040436|T0063515|T0090101|T0102332|T0003943|T0031351|T0011992|T0053221|T0017105|T0092318|T0068035|T0010737|T0083033|T0006767|T0067709|T0030994
M1C0371,C0371,1,main,25,False,T0039451|T0047635|T0052181|T0093910|T0094270|T0034717|T0099360|T0000480|T0062183|T0018983|T0064039|T0101794|T0058213|T0069083|T0010219|T0016699|T0009604|T0059400|T0036846|T0056764|T0016034|T0003232|T0029675|T0008786|T0050343
M1C0376,C0376,1,main,25,False,T0037013|T0021263|T0036018|T0029216|T0072596|T0023299|T0061077|T0008115|T0075016|T0089335|T0030760|T0033123|T0033065|T0085396|T0082722|T0100510|T0096621|T0095697|T0043223|T0060579|T0015757|T0080083|T0031459|T0031996|T0055735
M1C0398,C0398,1,main,20,True,T0029907|T0096129|T0023213|T0056344|T0029786|T0094669|T0074354|T0044756|T0044117|T0024614|T0080856|T0081963|T0020367|T0052501|T0084451|T0104413|T0028516|T0028535|T0068753|T0068818
M1C0399,C0399,1,main,25,False,T0069065|T0000164|T0077360|T0050313|T0083777|T0045143|T0091578|T0008394|T0025982|T0047918|T0058131|T0067074|T0024386|T0059096|T0103919|T0090308|T0017407|T0080291|T0001436|T0011720|T0038357|T0005648|T0021719|T0034650|T0076918
M1C0412,C0412,1,main,25,False,T0062091|T0080006|T0029079|T0058714|T0011994|T0070573|T0026968|T0099087|T0045380|T0103076|T0021602|T0007268|T0031864|T0052173|T0049749|T0039448|T0018548|T0027667|T0060864|T0056917|T0091124|T0090881|T0051214|T0061496|T0088093
M1C0416,C0416,1,main,25,False,T0030781|T0065812|T0091982|T0012902|T0055319|T0061721|T0080880|T0060199|T0078352|T0071133|T0057884|T0064533|T0098923|T0068395|T0004048|T0007990|T0063742|T0001536|T0084418|T0008042|T0078118|T0104337|T0049141|T0072571|T0061001
M1C0417,C0417,1,main,25,False,T0032934|T0100553|T0029419|T0087915|T0083944|T0091093|T0075969|T0019950|T0022162|T0082583|T0004335|T0032920|T0050945|T0038365|T0023969|T0030863|T0085048|T0026053|T0081530|T0029632|T0018046|T0092749|T0000660|T0039016|T0090198
M1C0419,C0419,1,main,25,False,T0019012|T0099974|T0010415|T0079227|T0033990|T0006003|T0045512|T0049265|T0005158|T0008450|T0022290|T0060446|T0042550|T0017258|T0045386|T0083121|T0001056|T0006586|T0065636|T0030416|T0058325|T0061810|T0027136|T0068809|T0102895
M1C0420,C0420,1,main,25,False,T0053719|T0095656|T0018313|T0062277|T0097185|T0057090|T0082127|T0099161|T0062029|T0081880|T0020255|T0089251|T0053931|T0000161|T0050866|T0064616|T0103518|T0032200|T0100963|T0010656|T0075654|T0097977|T0009989|T0042709|T0068320
M1C0423,C0423,1,main,25,False,T0100311|T0097623|T0000985|T0085765|T0102147|T0090329|T0048649|T0032111|T0011942|T0014592|T0069332|T0032519|T0020562|T0073502|T0077209|T0051499|T0102649|T0057323|T0020575|T0042959|T0051554|T0062778|T0051360|T0032808|T0010512
M1C0428,C0428,1,main,25,False,T0075865|T0010187|T0082486|T0051741|T0037678|T0031537|T0008874|T0081524|T0024159|T0029895|T0076158|T0022176|T0022628|T0071666|T0039625|T0010532|T0043888|T0029281|T0100114|T0097800|T0007654|T0056948|T0028236|T0043200|T0048707
M1C0442,C0442,1,main,25,False,T0041650|T0005506|T0091159|T0079554|T0029218|T0071352|T0102680|T0077969|T0100872|T0061980|T0022122|T0077967|T0017343|T0044846|T0072042|T0033480|T0090860|T0007538|T0086312|T0056354|T0096075|T0072183|T0104594|T0039181|T0065828
M1C0445,C0445,1,main,25,False,T0006458|T0096095|T0088519|T0053494|T0090499|T0096836|T0069293|T0027341|T0057705|T0041567|T0101993|T0071394|T0050200|T0032256|T0030472|T0094619|T0061211|T0095556|T0041638|T0098899|T0049849|T0014135|T0094179|T0009672|T0071976
M1C0449,C0449,1,main,25,False,T0060324|T0079570|T0020301|T0036156|T0098244|T0045074|T0036742|T0086842|T0026120|T0097876|T0005123|T0068475|T0078256|T0078736|T0035590|T0053767|T0038427|T0014942|T0034004|T0031675|T0069409|T0060090|T0059778|T0070611|T0046772
M1C0450,C0450,1,main,25,False,T0010937|T0046377|T0087927|T0100596|T0022804|T0039140|T0062253|T0102494|T0087918|T0099022|T0028363|T0064323|T0013643|T0031858|T0046747|T0070711|T0037926|T0068644|T0040423|T0079123|T0011784|T0001433|T0072791|T0070918|T0025956
M1C0451,C0451,1,main,25,False,T0024629|T0012536|T0005720|T0021390|T0032245|T0040305|T0010328|T0058084|T0104521|T0017639|T0035606|T0097820|T0022443|T0073832|T0070181|T0074633|T0083743|T0031445|T0088683|T0032966|T0058925|T0086577|T0043904|T0060573|T0018241
M1C0456,C0456,1,main,25,False,T0089854|T0007927|T0016005|T0073217|T0089421|T0057254|T0032877|T0084363|T0054859|T0097502|T0103360|T0061198|T0003434|T0079626|T0057854|T0006318|T0058344|T0033746|T0036308|T0047140|T0103396|T0023375|T0005041|T0003399|T0074518
M1C0474,C0474,1,main,8,True,T0072415|T0041586|T0002671|T0013139|T0096935|T0015499|T0092639|T0101336
M1C0481,C0481,1,main,25,False,T0025887|T0078962|T0058948|T0039455|T0047778|T0069716|T0010842|T0028694|T0001257|T0015145|T0006225|T0084293|T0097663|T0099196|T0010727|T0081904|T0073516|T0040783|T0065169|T0085174|T0008538|T0082618|T0069430|T0033281|T0026312
M1C0485,C0485,1,main,25,False,T0027685|T0094992|T0062597|T0024808|T0070752|T0038095|T0037716|T0067349|T0095592|T0020937|T0023993|T0019134|T0042939|T0080054|T0086034|T0085200|T0009728|T0069487|T0003451|T0075301|T0074078|T0040172|T0041563|T0053628|T0074494
M1C0489,C0489,1,main,25,False,T0063041|T0104382|T0012184|T0068343|T0043710|T0074774|T0039147|T0058622|T0047735|T0017585|T0003621|T0041579|T0025504|T0067936|T0087717|T0072957|T0032895|T0020587|T0038221|T0023537|T0083079|T0054995|T0046741|T0002855|T0049451
M1C0496,C0496,1,main,25,False,T0094037|T0029934|T0046958|T0030988|T0093930|T0092154|T0056519|T0023947|T0066718|T0028490|T0072498|T0024271|T0073640|T0043668|T0078433|T0015587|T0037466|T0069402|T0028729|T0011405|T0074727|T0074228|T0067578|T0088680|T0094530
M1C0501,C0501,1,main,25,False,T0097162|T0011646|T0018425|T0046163|T0078502|T0072723|T0075587|T0001908|T0008020|T0078521|T0078971|T0098953|T0009543|T0073468|T0013779|T0041573|T0032067|T0093663|T0102437|T0052374|T0013760|T0083672|T0059776|T0098405|T0081802
M1C0504,C0504,1,main,25,False,T0050700|T0035734|T0063080|T0011843|T0056084|T0033894|T0091576|T0002765|T0015135|T0021803|T0022645|T0068846|T0058279|T0099994|T0044493|T0069698|T0024415|T0072525|T0090493|T0007721|T0022833|T0037674|T0031168|T0102261|T0066107
M1C0506,C0506,1,main,25,False,T0087680|T0094407|T0007455|T0009153|T0017298|T0081905|T0006235|T0004631|T0032798|T0022202|T0078421|T0027248|T0079071|T0100974|T0081858|T0047425|T0091351|T0100567|T0035464|T0036962|T0077837|T0022551|T0090810|T0104068|T0032114
M1C0508,C0508,1,main,25,False,T0032814|T0017484|T0104522|T0089699|T0019944|T0054064|T0036948|T0104095|T0052659|T0025032|T0096046|T0031015|T0075919|T0034847|T0102283|T0068225|T0102701|T0035888|T0028771|T0063968|T0066891|T0001836|T0079428|T0086191|T0041401
M1C0515,C0515,1,main,23,True,T0057335|T0069091|T0060859|T0050877|T0092181|T0034946|T0010492|T0087616|T0059356|T0030852|T0009387|T0075607|T0070449|T0069608|T0036131|T0087536|T0045336|T0054566|T0075794|T0036690|T0091474|T0060913|T0092970
M1C0534,C0534,1,main,25,False,T0037812|T0001295|T0040455|T0046187|T0029711|T0071482|T0018317|T0064701|T0032014|T0006086|T0022964|T0021496|T0055827|T0005671|T0068015|T0009739|T0101873|T0062758|T0089212|T0032941|T0084411|T0100115|T0074447|T0024998|T0008931
M1C0549,C0549,1,main,25,False,T0019641|T0102695|T0016566|T0087948|T0025652|T0097828|T0090940|T0012413|T0062188|T0086344|T0078066|T0081128|T0046598|T0041719|T0069340|T0053420|T0000937|T0030339|T0096865|T0097166|T0102402|T0063839|T0015809|T0043669|T0086185
M1C0552,C0552,1,main,20,True,T0030771|T0049385|T0053080|T0061757|T0037884|T0049247|T0103743|T0056438|T0097522|T0016245|T0027194|T0029963|T0065835|T0077419|T0065069|T0082058|T0056386|T0070869|T0084570|T0015557
M1C0567,C0567,1,main,25,False,T0089403|T0091270|T0007599|T0006103|T0030693|T0044119|T0078165|T0083287|T0041905|T0071486|T0040681|T0068406|T0086975|T0083251|T0034775|T0014628|T0096914|T0059841|T0029716|T0102554|T0089629|T0097733|T0000548|T0093396|T0059774
M1C0580,C0580,1,main,25,False,T0090239|T0103020|T0064359|T0002559|T0017245|T0094050|T0087417|T0073720|T0089821|T0049310|T0018989|T0050466|T0062837|T0099618|T0060552|T0080023|T0079386|T0036909|T0018953|T0078286|T0005273|T0080363|T0012083|T0081014|T0023137
M1C0586,C0586,1,main,18,True,T0053085|T0025288|T0060890|T0076508|T0102590|T0038204|T0029374|T0097555|T0102673|T0070196|T0039323|T0094983|T0077146|T0077254|T0085357|T0027170|T0008103|T0063828
M1C0587,C0587,1,main,25,False,T0015948|T0103019|T0072587|T0062171|T0043367|T0070640|T0068739|T0101914|T0047683|T0039242|T0045106|T0084877|T0083874|T0037445|T0035302|T0057777|T0077630|T0079941|T0102667|T0026413|T0057864|T0089490|T0093139|T0002605|T0062408
M1C0590,C0590,1,main,25,False,T0082395|T0033813|T0094868|T0004576|T0077153|T0067384|T0051237|T0080922|T0030262|T0098346|T0042638|T0039717|T0081810|T0088976|T0068599|T0100908|T0075890|T0062055|T0039868|T0055438|T0075441|T0071525|T0097416|T0081349|T0046930
M1C0591,C0591,1,main,25,False,T0024418|T0054313|T0078651|T0033051|T0073933|T0086729|T0029750|T0049796|T0051413|T0020233|T0065176|T0080187|T0017259|T0015551|T0036954|T0077122|T0097875|T0010516|T0084362|T0095902|T0036559|T0078828|T0067974|T0102704|T0009057
